Valdemar Cardoso Alves ,PSD ,Águeda 
José Nunes Alves ,PSD ,Albergaria-a-Velha 
Silvio Henriques Cerveira ,PSD ,Anadia 
Zeferino Duarte Brandão ,PSD ,Arouca 
José Girão Pereira ,CDS ,Aveiro 
Fernandino Silva Rocha ,PSD ,Castelo de Paiva 
Artur Pereira Bártolo ,PS ,Espinho 
Maria L. J. Almeida Breu ,PSD ,Estarreja 
Aurélio Gonçalves Pinheiro ,PSD ,Feira 
José M. S. Marcos Simões ,PSD ,Ílhavo 
Maria O. Santos Isabel ,PS ,Mealhada 
António J. M. Tavares Fonseca ,PSD ,Murtosa 
Licínio Vieira Dias ,PSD ,Oliveira de Azemeis 
Alípio Assunção Sol ,PSD ,Oliveira do Bairro 
Fernando Raimundo Rodrigues ,PSD ,Ovar 
Benjamim A Oliveira Valente ,PS ,S. João da Madeira 
Artur J. Ferreira Castro ,PSD ,Sever do Vouga 
Alda S. M. C. Santos Victor ,CDS ,Vagos 
Bernardo Coelho Pinho ,CDS ,Vale de Cambra 
António Alexandre Raposo ,FEPU ,Aljustrel 
Carlos D. Morgadinho Gago ,PS ,Almodôvar 
Joaquim A Pereira Cabanas ,PS ,Alvito 
Carlos Caçador Durão ,FEPU ,Barrancos 
José C. S. Reis Colaço ,FEPU ,Beja 
Fernando Sousa Caeiros ,FEPU ,Castro Verde 
Francisco J. Felgueiras Rodrigues ,FEPU ,Cuba 
José L. C. Nova Ameixa ,FEPU ,Ferreira do Alentejo 
António M. Serrão Martins ,FEPU ,Mértola 
Armando L. Almeida Manso ,PS ,Moura 
Justino A. B. Abreu Santos ,FEPU ,Odemira 
Ramiro N. Sobral Vilhena ,PSD ,Ourique 
Satiro Costa Louzeiro ,FEPU ,Serpa 
Manuel Trindade Reis ,PS ,Vidigueira 
Amares ,Tomé S. Gonçalves Macedo  ,CDS  
Barcelos ,João Baptista Machado ,PSD   
Braga  ,Francisco S. Mesquita Machado  ,PS  
Cabeceira de Basto ,Valdemar J. Queirós Gomes ,PS 
Celorico de Basto  ,João M. M. Pulido Almeida  ,CDS  
Esposende  ,Alexandre D. Losa Faria  ,CDS  
Fafe  ,António Antunes Guimarães ,PSD  
Guimarães  ,Edmundo A Marques Campos ,PS 
Póvoa de Lanhoso ,Amândio S. Basto Oliveira ,PSD 
Terras de Bouro ,Manuel Antunes Lomba ,PSD 
Vieira do Minho ,Carlos Peixoto Magalhães ,PSD 
Vila Nova de Famalicão ,José C. P. Gomes Marinho ,PSD 
Vila Verde ,António Cerqueira ,CDS 
Alfândega da Fé ,Carlos F. Vieira Castro ,CDS 
Bragança  ,José L. Gomes Pinheiro ,PSD  
Carrazeda de Ansiães  ,Mário J. M. Abreu Lima ,CDS  
Freixo de Espada à Cinta ,Ambrósio A A A Oliveira Guerra  ,PSD 
Macedo de Cavaleiros  ,António Joaquim Ferreira  ,PSD  
Miranda do Douro  ,Rui A B. Sanches Gama ,CDS 
Mirandela  ,Maximino J. Silva Monteiro ,CDS 
Mogadouro   ,António Abílio Costa  ,PSD  
Torre de Moncorvo  ,José António Marrana ,PS 
Vila Flor  ,Francisco G. Miller Guerra ,PSD  
Vimioso  ,Joaquim Nascimento Marrão  ,PSD  
Vinhais  ,José Carlos Figueiredo ,CDS  
Belmonte ,Anselmo Alves Sousa ,PS 
Castelo Branco  ,Armindo Gonçalves Ramos ,PS 
Covilhã  ,Augusto Lopes Teixeira  ,PS  
Fundão  ,José Coelho Ribeiro ,PS 
Idanha-a-Nova  ,Pedro A Camacho Vieira  ,PS  
Oleiros  ,Fernando Luis  ,PSD 
Penamacor  ,José Pinto ,PS 
Proença-a-Nova  ,Júlio L. Sequeira Grilo ,CDS 
Sertã  ,Ângelo P. Soares Bastos ,PSD 
Vila de Rei  ,Hermínio Baptista Santos ,PSD 
Vila Velha de Rodão  ,Augusto P. Pinto Afonso ,PS  
Arganil  ,Carlos A Fernandes Ribeiro ,PSD 
Cantanhede  ,Alberto J. G. Pais Sousa ,PSD  
Coimbra  ,Maria J. P. Mendes Abreu ,PS 
Condeixa-a-Nova  ,Armando Martins Tavares  ,PS  
Figueira da Foz  ,José M. B. Teixeira Leite ,PS  
Góis  ,Fernando S. Almeida Carneiro ,PS 
Lousã   ,Armando Almeida Silva ,PS 
Mira  ,Mário M. Ferreira Maduro  ,PSD  
Miranda do Corvo  ,José L. Simões Pereira ,PSD 
Montemor-o-Velho  ,Fernando M. Ângelo Leitão ,PS  
Oliveira do Hospital  ,António Simões Saraiva  ,PSD 
Pampilhosa da Serra ,Fernando A Gomes Silva ,PS 
Penacova ,Artur M. S. Guedes Coimbra ,PS 
Penela ,José A G. Coelho Silva ,PSD 
Soure ,Manuel G. Leal Cordeiro ,PS 
Tábua ,António M. Barata Portugal ,PSD 
V. Nova de Poiares ,Jaime C. Marta Soares ,PSD 
Alandroal ,Inácio José Melrinho  ,FEPU  
Arraiolos  ,Gil L. Batata Neto ,FEPU  
Borba  ,Sérgio D. Figueiredo Alpalhão  ,FEPU  
Estremoz  ,António J. Vestia Silva  ,FEPU  
Évora  ,Abílio M. J. Dias Fernandes  ,FEPU  
Montemor-o-Novo ,Ernesto J. F. M. Pinto Ângelo ,FEPU  
Mora  ,José C. Domingues Chitas  ,FEPU  
Mourão  ,Pedro Cominho Couto  ,PS 
Portel  ,João Costa Marques ,FEPU  
Redondo  ,Manuel Roque ,FEPU  
Reguengos Monsaraz  ,Victor M. Barão Martelo  ,PS  
Vendas Novas ,Alberto L. Sousa Lopes ,FEPU  
Viana do Alentejo ,Manuel Francisco Aleixo ,FEPU  
Vila Viçosa ,Francisco Carlos Lourinhã ,FEPU  
Xavier Vieira Xufre ,Albufeira  ,PS 
Júlio António Rosa ,Alcoutim  ,PS  
João V. Gonçalves Silva  ,Aljezur  ,PS  
José Guilhermino Anacleto  ,Castro Marim  ,PS  
Joaquim Lopes Belchior ,Faro  ,PS 
Abel Silva Santos  ,Lagoa  ,PS  
José Alberto Baptista  ,Lagos  ,PS  
António M. Andrade Sousa ,Loulé  ,PS 
José M. Nobre Furtado  ,Monchique  ,PSD 
Carlos A M. Fonseca Viegas ,Olhão  ,PS  
Martim A. Pacheco Gracias  ,Portimão  ,PS  
João Pires Cruz  ,S. Brás de Alportel  ,PS  
Rui H. C. Silva Morais ,Silves  ,PS  
João B. Rocha Prado ,Tavira  ,PS  
José Francisco Boaventura ,Vila do Bispo ,PS 
António Santos Reis ,Vila Real de Santo António ,PS 
António Raimundo Cunha ,Aguiar da Beira ,PSD 
António J. Sousa Júnior ,Almeida ,CDS 
Carlos A. Faria Almeida ,Celorico da Beira ,CDS 
José Pinto Lopes ,Figueira de Castelo Rodrigo ,CDS 
Francisco P. Almeida Menano ,Fornos de Algodres ,PSD 
Alípio Mendes Melo ,Gouveia ,PS 
Vitor M Gonçalves Cabeço ,Guarda ,PS 
Homero Lopes Ambrósio ,Manteigas ,CDS 
