Deniz C. Ramos Padeiro ,PSD ,Águeda 
Fernando Nunes Almeida ,PSD ,Albergaria-a-Velha 
Silvio Henriques Cerveira ,PSD ,Anadia 
Joaquim Brandão Almeida ,PSD ,Arouca 
José Girão Pereira ,CDS ,Aveiro 
António Almeida Esteves ,PSD ,Castelo de Paiva 
José Carvalho da Fonseca ,AD ,Espinho 
Maria L. J. Almeida Breu ,PSD ,Estarreja 
Aurélio Gonçalves Pinheiro ,PSD ,Feira 
José P. Gonçalves Bilelo ,PSD ,Ílhavo 
Manuel J. M. P. Tavares Santos ,PS ,Mealhada 
António J. M. Tavares Fonseca ,PSD ,Murtosa 
Bento M. A. Teixeira Lopes ,PSD ,Oliveira de Azemeis 
Alípio Assunção Sol ,PSD ,Oliveira do Bairro 
Manuel Fernandes Silva ,PSD  ,Ovar 
José Silva Pinho ,AD  ,S. João da Madeira 
Custódio Silva ,PSD ,Sever do Vouga 
Alda S. M. C. Santos Victor ,CDS ,Vagos 
Álvaro P. Costa Leite ,PSD  ,Vale de Cambra 
António Alexandre Raposo ,APU ,Aljustrel 
Carlos D. Morgadinho Gago ,PS ,Almodôvar 
António V. Ramalhete Suspiro ,APU ,Alvito 
Carlos Caçador Durão ,APU ,Barrancos 
José C. Sá Reis Colaço ,APU ,Beja 
Fernando Sousa Caeiros ,APU ,Castro Verde 
Francisco J. Felgueiras Rodrigues ,APU ,Cuba 
José L. C. Nova Ameixa ,APU ,Ferreira do Alentejo 
António M. Serrão Martins ,APU ,Mértola 
Manuel Romana Ângelo ,APU ,Moura 
Justino A. B. Abreu Santos ,APU ,Odemira 
Ramiro N. Sobral Vilhena ,PSD ,Ourique 
João M. Rocha Silva ,APU ,Serpa 
Carlos J. Labego Goes ,APU ,Vidigueira 
Amares ,Tomé S. Gonçalves Macedo  ,CDS  
Barcelos ,João M. R. Guimarães Casanova ,PSD   
Braga  ,Francisco S. Mesquita Machado  ,PS  
Cabeceira de Basto ,Mário C. Gonçalves Pereira ,AD 
Celorico de Basto  ,João M. M. Pulido Almeida  ,CDS  
Esposende  ,Alexandre D. Losa Faria  ,CDS  
Fafe  ,Parcídio M. Summavielle Soares  ,PS  
Guimarães  ,António A Duarte Xavier  ,AD  
Póvoa de Lanhoso ,José L. V. Pereira Portela ,PSD 
Terras de Bouro ,José António Araújo ,PSD 
Vieira do Minho ,João Araújo Costa ,PSD 
Vila Nova de Famalicão ,Antero Alexandre Martins ,AD  
Vila Verde ,António Cerqueira ,CDS 
Alfândega da Fé ,Sotero F. Mariano Ribeiro  ,AD  
Bragança  ,José L. Gomes Pinheiro ,PSD  
Carrazeda de Ansiães  ,Mário J. M. Abreu Lima ,CDS  
Freixo de Espada à Cinta ,Ambrósio A A A Oliveira Guerra  ,PSD 
Macedo de Cavaleiros  ,António Joaquim Ferreira  ,PSD  
Miranda do Douro  ,Júlio Meirinhos Santana  ,PS  
Mirandela  ,Marcelo Jorge Lago  ,PSD  
Mogadouro   ,António Abílio Costa  ,PSD  
Torre de Moncorvo  ,Almiro Ângelo Sotta  ,PSD  
Vila Flor  ,Alfredo Travessa Ramalho  ,PSD  
Vimioso  ,Joaquim Nascimento Marrão  ,PSD  
Vinhais  ,Humberto J. Sobrinho Alves  ,CDS  
Belmonte ,Manuel Fernandes Pina  ,AD  
Castelo Branco  ,César A Vila Franca  ,AD 
Covilhã  ,Augusto Lopes Teixeira  ,PS  
Fundão  ,Joaquim A P. Castelo Branco  ,AD  
Idanha-a-Nova  ,Pedro A Camacho Vieira  ,PS  
Oleiros  ,Fernando Luis  ,AD 
Penamacor  ,Arnaldo A Almeida Antunes  ,AD  
Proença-a-Nova  ,António J. Silva Sousa  ,AD  
Sertã  ,Reinaldo Lima Silva  ,AD  
Vila de Rei  ,José Maria Silva  ,AD  
Vila Velha de Rodão  ,Manuel Mendes Marques  ,PS  
Arganil  ,José Dias Coimbra  ,AD  
Cantanhede  ,Júlio A P. Carvalho Simões  ,PSD  
Coimbra  ,António M. Santos Moreira  ,AD  
Condeixa-a-Nova  ,Armando Martins Tavares  ,PS  
Figueira da Foz  ,Joaquim M. Barros Sousa  ,PS  
Góis  ,Victor M. Nogueira Dias  ,PSD  
Lousã   ,Eduardo A Teixeira Neto  ,PSD  
Mira  ,Mário M. Ferreira Maduro  ,PSD  
Miranda do Corvo  ,Jaime A Simões Ramos  ,AD  
Montemor-o-Velho  ,João M. M. Pinto Correia  ,PS  
Oliveira do Hospital  ,António Simões Saraiva  ,AD  
Pampilhosa da Serra ,José A V. Nunes Almeida ,PSD 
Penacova ,Joaquim Leitão Couto ,PSD 
Penela ,Fernando Santos Antunes ,PSD 
Soure ,Manuel G. Leal Cordeiro ,PS 
Tábua ,António M. Barata Portugal ,PSD 
V. Nova de Poiares ,Jaime C. Marta Soares ,PSD 
Alandroal ,Inácio José Melrinho  ,APU  
Arraiolos  ,Joaquim I. Charneca Miguel  ,APU  
Borba  ,Sérgio D. Figueiredo Alpalhão  ,APU  
Estremoz  ,António J. Véstia Silva  ,APU  
Évora  ,Abílio M. J. Dias Fernandes  ,APU  
Montemor-o-Novo ,Fernando H. R. Pinheiro Cruz  ,APU  
