Denis Ramos Padeiro  ,PSD  ,Águeda 
Fernando Nunes Almeida  ,PSD  ,Albergaria-a-Velha 
Sílvio Marques Cerveira  ,PSD  ,Anadia 
Joaquim Brandão Almeida  ,PSD  ,Arouca 
José Girão Pereira  ,CDS  ,Aveiro 
Antero Paiva Vieira  ,PS  ,Castelo de Paiva 
Artur Bártolo  ,PS / UEDS  ,Espinho 
Maria de Lurdes Breu  ,PSD ,Estarreja 
Joaquim Carvalho  ,AD  ,Feira 
José Francisco Lavado Carujo  ,PSD  ,Ílhavo 
Manuel Joaquim Pires Santos  ,PS  ,Mealhada 
António Joaquim Tavares Fonseca  ,PSD  ,Murtosa 
Bento Manuel Lopes  ,PSD  ,Oliveira de Azemeis 
Alípio Assunção Sol  ,PSD  ,Oliveira do Bairro 
Fernando Raimundo Rodrigues  ,PSD  ,Ovar 
José Silva Pinho  ,AD  ,S. João da Madeira 
Custódio Silva  ,PSD  ,Sever do Vouga 
Alda Santos Victor  ,PPM  ,Vagos 
António José Oliveira Fonseca  ,CDS  ,Vale de Cambra 
Amares ,Tomé S. Gonçalves Macedo  ,AD  
Barcelos ,José M. R. Guimarães Casanova ,PSD   
Braga  ,Francisco S. Mesquita Machado  ,PS  
Cabeceiras de Basto ,Mário C. Gonçalves Pereira ,AD  
Celorico de Basto  ,João M. M. Pulido Almeida  ,AD   
Esposende  ,Alexandre D. Losa Faria  ,CDS  
Fafe  ,Parcídio M. Summavielle Soares  ,PS  
Guimarães  ,Manuel Ferreira ,PS  
Póvoa de Lanhoso ,José L. V. Pereira Portela ,PSD 
Terras de Bouro ,José António Araújo ,AD  
Vieira do Minho ,João Araújo Costa ,AD  
Vila Nova de Famalicão ,Agostinho Fernandes ,PS  
Vila Verde ,António Cerqueira ,AD  
Alfândega da Fé ,António Branco Rodrigues ,PSD  
Bragança  ,José L. Gomes Pinheiro ,CDS 
Carrazeda de Ansiães  ,Mário J. M. Abreu Lima ,AD  
Freixo de Espada à Cinta ,Manuel Augusto Silva  ,AD  
Macedo de Cavaleiros  ,António Joaquim Ferreira  ,PSD  
Miranda do Douro  ,Júlio Meirinhos Santana  ,PS 
Mirandela  ,Marcelo Jorge Lago  ,PSD  
Mogadouro   ,António Abílio Costa  ,PSD  
Torre de Moncorvo  ,Rui F. Fernandes Marrana  ,AD   
Vila Flor  ,Alfredo Travessa Ramalho  ,PSD  
Vimioso  ,Luis F. Paula Mina  ,PS  
Vinhais  ,Humberto J. Sobrinho Alves  ,CDS  
Belmonte ,Victor M. Ferreira Afonso  ,AD  
Castelo Branco  ,César A Vila Franca  ,AD  
Covilhã  ,Augusto Lopes Teixeira  ,PS  
Fundão  ,Joaquim A  F. P. Castelo Branco  ,AD  
Idanha-a-Nova  ,Joaquim M. Lopes Dias  ,PS  
Oleiros  ,Fernando Luis  ,PSD 
Penamacor  ,Francisco F. Martins Ribeiro  ,PS 
Proença-a-Nova  ,António J. Silva Sousa  ,CDS 
Sertã  ,Ângelo Pedro Farinha  ,PSD  
Vila de Rei  ,José Maria Silva  ,AD  
Vila Velha de Rodão  ,José Baptista Martins ,PS  
Arganil  ,José Dias Coimbra  ,AD  
Cantanhede  ,Albano J. G. Pais Sousa  ,PSD  
Coimbra  ,Fernando L. Mendes Silva  ,PS  
Condeixa-a-Nova  ,Armando Martins Tavares  ,PS  
Figueira da Foz  ,Manuel A Aguiar Carvalho  ,PS  
Góis  ,Augusto Nogueira Pereira  ,PS  
Lousã   ,Horácio André Antunes  ,PS  
Mira  ,João D. Rocha Cupido  ,PSD  
Miranda do Corvo  ,Jaime A Simões Ramos  ,AD  
Montemor-o-Velho  ,João M. M. Pinto Correia  ,PS  
Oliveira do Hospital  ,António Simões Saraiva  ,AD  
Pampilhosa da Serra ,José A V. Nunes Almeida ,PSD 
Penacova ,Artur M. S. Guedes Coimbra ,PS 
Penela ,Fernando Santos Antunes ,PSD 
Soure ,Manuel G. Leal Cordeiro ,PS 
Tábua ,José Martins ,PSD 
V. Nova de Poiares ,Jaime C. Marta Soares ,PSD 
Alandroal ,Inácio José Melrinho  ,APU  
Arraiolos  ,Joaquim I. Charneca Miguel  ,APU  
Borba  ,Sérgio D. Figueiredo Alpalhão  ,APU  
Estremoz  ,José E. C. Vasconcelos Guerreiro  ,APU  
Évora  ,Abílio M. J. Dias Fernandes  ,APU  
Montemor-o-Novo ,Fernando H. R. Pinheiro Cruz  ,APU  
Mora  ,João C. D. Lopes Saraiva ,APU  
Mourão  ,Alexandre S. Pinto Barros  ,APU  
Portel  ,Maria M. R. Silva Oliveira  ,APU   
Redondo  ,Alfredo Falanimo Barroso  ,APU  
Reguengos Monsaraz  ,Vitor M. Barão Martelo  ,PS  
Vendas Novas ,João Teresa Ribeiro ,APU  
Viana do Alentejo ,Manuel A R. Pão Mole ,APU 
Vila Viçosa ,Miguel A Patacão Rodrigues ,APU 
Albufeira  ,Xavier  Vieira Xufre ,PS 
Alcoutim  ,Manuel Cavaco Afonso   ,PS  
Aljezur  ,João V. Gonçalves Silva  ,PS  
Castro Marim  ,José Guilhermino Anacleto  ,PS  
Faro  ,Manuel Francisco Silva ,AD  
Lagoa  ,Abel Silva Santos  ,PS  
Lagos  ,José Alberto Baptista  ,PS  
Loulé  ,José Mendes Bota ,PSD  
Monchique  ,Carlos A Santos Tuta ,PS  
Olhão  ,João Francisco Bonança  ,PS  
Portimão  ,Martim A. Pacheco Garcias  ,PS  
S. Brás de Alportel  ,António J. Pires Bica ,PSD  
Silves  ,José Francisco Viseu  ,PS  
Tavira  ,Joaquim A. Fialho Anastácio  ,PS  
Vila do Bispo ,José A Rosado Spínola ,APU 
Vila Real de Santo António ,Alfredo J. Zarcos Graça ,APU 
Aguiar da Beira ,Joaquim C. Ferreira Lacerda ,CDS 
Almeida ,António J. Sousa Júnior ,AD  
Celorico da Beira ,Carlos A. Faria Almeida ,PSD 
Figueira de Castelo Rodrigo ,Fernando Carrilho Martins ,PSD 
Fornos de Algodres ,Francisco P. Almeida Menano ,PSD 
Gouveia ,António J. Santinho Pacheco ,PS 
Guarda ,Abílio Aleixo Curto ,PS 
Manteigas ,Albino Massano Leitão ,PS 
Meda ,Antero Dias Sobral ,CDS 
Pinhel ,Alfeu V. Barreiros Campos ,CDS 
Sabugal  ,Jeremias Amaral Dias ,PSD 
Seia ,Jorge A. Santos Correia ,PS 
Trancoso ,António Morgado Baptista ,PSD 
Vila Nova de Foz Côa ,Celestino S. O Soares Carneiro ,PSD 
Alcobaça ,Joaquim Rui Coelho ,AD  
Alvaiázere ,Filipe Antunes Santos ,CDS 
Ansião ,Manuel Júlio Marques ,AD  
Batalha ,Francisco M. Santos Coutinho ,PSD 
Bombarral ,José M. Rosário Guilherme ,CDS 
Caldas da Rainha ,Luis Paiva Sousa ,CDS 
Castanheira de Pera ,Júlio P. Nunes Henriques ,PS 
Figueiró dos Vinhos ,José Simões Abreu ,PSD 
Leiria ,Afonso Lemos Proença ,CDS 
Marinha Grande ,Emílio Ferreira Rato ,APU  
Nazaré ,Luis F. Soares Monterroso ,PS 
Óbidos ,José A. Pereira Júnior ,PS 
Pedrógão Grande ,Manuel Henriques Coelho ,PSD 
Peniche ,José M. Malaquias Antunes ,PS 
Pombal ,Guilherme Gomes Santos ,PS 
