José J. Carvalho Ribeiro ,PSD  ,Águeda 
Rui M. Pereira Marques ,CDS ,Albergaria-a-Velha 
Sílvio Henriques Cerveira ,PSD  ,Anadia 
Joaquim Brandão Almeida  ,PSD  ,Arouca 
José Girão Pereira  ,CDS  ,Aveiro 
Antero G. Paiva Vieira ,PS  ,Castelo de Paiva 
José M. A Gomes Almeida ,PSD ,Espinho 
Maria L. J. Almeida Breu ,PSD ,Estarreja 
Alfredo Oliveira Henriques ,PSD ,Feira 
Manuel Rocha Galante ,PSD  ,Ílhavo 
Adriano Fereira Santiago ,PSD  ,Mealhada 
Manuel M. Portugal Fonseca ,PSD  ,Murtosa 
Ramiro M. Ferreira Alegria ,PSD  ,Oliveira de Azemeis 
Alípio Assunção Sol  ,PSD  ,Oliveira do Bairro 
José A P. Guedes Costa ,PSD  ,Ovar 
Manuel Almeida Cambra ,CDS ,S. João da Madeira 
Severo Carvalho ,PSD  ,Sever do Vouga 
João J. C. A Simões Rocha ,PSD ,Vagos 
Luis G. Bastos Pinho ,CDS  ,Vale de Cambra 
Amares ,Tomé S. Gonçalves Macedo  ,PS 
Barcelos ,João Batista Machado ,PSD   
Braga  ,Francisco S. Mesquita Machado  ,PS  
Cabeceiras de Basto ,Mário C. Gonçalves Pereira ,PSD 
Celorico de Basto  ,João M. M. Pulido Almeida  ,CDS  
Esposende  ,Alexandre D. Losa Faria  ,CDS  
Fafe  ,Parcídio M. Summavielle Soares  ,PS  
Guimarães  ,António A Duarte Xavier ,PSD  
Póvoa de Lanhoso ,José L. V. Pereira Portela ,PSD 
Terras de Bouro ,José António Araújo ,CDS 
Vieira do Minho ,João Araújo Costa ,PSD 
Vila Nova de Famalicão ,Agostinho Peixoto Fernandes ,PS  
Vila Verde ,António Cerqueira ,CDS 
Alfândega da Fé ,António F. Branco Rodrigues ,PSD  
Bragança  ,José L. Gomes Pinheiro ,CDS  
Carrazeda de Ansiães  ,Mário J. M. Abreu Lima ,CDS  
Freixo de Espada à Cinta ,Manuel Augusto Silva  ,PSD 
Macedo de Cavaleiros  ,António Joaquim Ferreira  ,PSD  
Miranda do Douro  ,Amândio Anjos Gomes ,PSD 
Mirandela  ,Marcelo Jorge Lago  ,PSD  
Mogadouro   ,António Abílio Costa  ,PSD  
Torre de Moncorvo  ,Fernando A Aires Ferreira ,PS 
Vila Flor  ,Alfredo Travessa Ramalho  ,PSD  
Vimioso  ,Luis F. Paula Mina  ,PS  
Vinhais  ,Humberto J. Sobrinho Alves  ,CDS  
Belmonte ,António J. Almeida Garcia ,PRD  
Castelo Branco  ,César A Vila Franca  ,PSD 
Covilhã  ,Álvaro Lambelho Ramos ,PSD  
Fundão  ,Manuel J. Lambelho Ramos ,PSD 
Idanha-a-Nova  ,Joaquim M. Lopes Dias  ,PS  
Oleiros  ,José Santos Marques ,PSD 
Penamacor  ,Francisco F. Martins Ribeiro  ,PS 
Proença-a-Nova  ,Diamantino Ribeiro André ,PSD 
Sertã  ,Ângelo Pedro Farinha  ,PSD  
Vila de Rei  ,José S. Camejo Mendes ,CDS 
Vila Velha de Rodão  ,José Baptista Martins ,PS  
Arganil  ,José Dias Coimbra  ,PSD  
Cantanhede  ,Albano J. G. Pais Sousa  ,PSD  
Coimbra  ,António M. Santos Moreira ,PSD  
Condeixa-a-Nova  ,Belmiro Moita Costa ,PS  
Figueira da Foz  ,Manuel A Aguiar Carvalho  ,PS  
Góis  ,Augusto Nogueira Pereira  ,PS  
Lousã   ,Horácio André Antunes  ,PS  
Mira  ,João E. Rocha Almeida ,PSD  
Miranda do Corvo  ,Jaime A Simões Ramos  ,PSD 
Montemor-o-Velho  ,João M. M. Pinto Correia  ,PS  
Oliveira do Hospital  ,António Simões Saraiva  ,PSD 
Pampilhosa da Serra ,José A V. Nunes Almeida ,PSD 
Penacova ,Manuel E. Marques Florido ,PSD 
Penela ,Fernando Santos Antunes ,PSD 
Soure ,Firmino S. Oliveira Ramalho ,PS 
Tábua ,António M. Barata Portugal ,PSD 
V. Nova de Poiares ,Jaime C. Marta Soares ,PSD 
Alandroal ,Inácio José Melrinho  ,APU  
Arraiolos  ,Joaquim I. Charneca Miguel  ,APU  
Borba  ,António J. Figueiredo Ferreira ,PS  
Estremoz  ,João A Primo Carrapico ,PS 
Évora  ,Abílio M. J. Dias Fernandes  ,APU  
Montemor-o-Novo ,Fernando H. R. Pinheiro Cruz  ,APU  
Mora  ,João C. D. Lopes Saraiva ,APU   
Mourão  ,Jerónimo José Arranhado ,PSD  
Portel  ,José M. Godinho Fialho ,APU   
Redondo  ,Alfredo Falanimo Barroso  ,APU  
Reguengos Monsaraz  ,Victor M. Barão Martelo  ,PS  
Vendas Novas ,João Teresa Ribeiro ,APU 
Viana do Alentejo ,Manuel A. R. Pão-Mole ,APU  
Vila Viçosa ,Miguel A. Patacão Rodrigues ,APU  
Xavier  Vieira Xufre ,Albufeira  ,PS 
Manuel Cavaco Afonso   ,Alcoutim  ,PS  
João V. Gonçalves Silva  ,Aljezur  ,PS  
José Guilhermino Anacleto  ,Castro Marim  ,PS  
João Negrão Belo ,Faro  ,PSD 
Jacinto M. S. Lopes Correia ,Lagoa  ,PSD  
José Alberto Baptista  ,Lagos  ,PS  
José A Guerreiro Cavaco ,Loulé  ,PSD  
Carlos A Santos Tuta ,Monchique  ,PS  
João Francisco Bonança  ,Olhão  ,PS  
Martin A. Pacheco Gracias  ,Portimão  ,PS  
António J. Pires Bica ,S. Brás de Alportel  ,PSD  
José A Correia Viola ,Silves  ,APU  
Joaquim A. Fialho Anastácio  ,Tavira  ,PS  
José D. Vieira Rodrigues ,Vila do Bispo ,APU  
António M. Farinha Murta ,Vila Real de Santo António ,PS 
Joaquim C. Ferreira Lacerda ,Aguiar da Beira ,CDS 
José A Simão Andrade ,Almeida ,PSD 
Carlos A. Faria Almeida ,Celorico da Beira ,PSD 
Fernando Carrilho Martins ,Figueira de Castelo Rodrigo ,PSD 
José Costa Felício ,Fornos de Algodres ,PSD 
António J. Santinho Pacheco ,Gouveia ,PS 
Abílio Aleixo Curto ,Guarda ,PS 
Albino Massano Leitão ,Manteigas ,PS  
João G. M. Leal Pinto ,Meda ,PSD  
Amadeu G. Andrade Poco ,Pinhel ,PSD 
Joaquim J. Nunes Portas ,Sabugal  ,CDS 
Jorge A. Santos Correia ,Seia ,PS 
Júlio J. Saraiva Sarmento ,Trancoso ,PSD 
António S. A Gouveia ,Vila Nova de Foz Côa ,PSD  
Joaquim Rui Coelho ,Alcobaça ,PSD 
Álvaro C. Pinto Simões ,Alvaiázere ,PSD 
Ansião ,Manuel Júlio Marques ,PSD 
Batalha ,Francisco M. Santos Coutinho ,PSD 
Bombarral ,José M. Rosário Guilherme ,CDS 
Caldas da Rainha ,Fernando José Costa ,PSD 
Castanheira de Pera ,Júlio P. Nunes Henriques ,PS 
Figueiró dos Vinhos ,José Simões Abreu ,PSD 
Leiria ,Afonso Lemos Proença ,CDS 
Marinha Grande ,Emílio Ferreira Rato ,APU  
Nazaré ,Luis F. Soares Monterroso ,PS 
Óbidos ,José A. Pereira Júnior ,PS 
Pedrógão Grande ,Manuel Henriques Coelho ,PSD 
Peniche ,João A Tavares Barradas ,PSD 
Pombal ,Guilherme Gomes Santos ,PS 
Porto de Mós ,José L. Gomes Afonso ,PSD 
Alenquer ,Álvaro J. Gomes Pedro ,PS 
Arruda dos Vinhos ,Mário H. Ferreira Carvalho ,PS 
Azambuja ,João F. Gomes Benavente ,PS 
Cadaval ,João F. Ribeiro Correia ,PSD 
Cascais ,Georges A Silveira Dargent ,PSD 
Lisboa ,Nuno Krus Abecassis ,PSD  
Loures ,Severiano Pedro Falcão ,APU  
