José Carvalho Ribeiro ,PSD  ,Águeda 
Rui Pereira Marques ,CDS ,Albergaria-a-Velha 
Sílvio Henriques Cerveira ,PSD  ,Anadia 
Zeferino Duarte Brandão ,PSD  ,Arouca 
José Girão Pereira  ,CDS  ,Aveiro 
Antero Gaspar Vieira ,PS  ,Castelo de Paiva 
Romeu Marques Vito ,PSD ,Espinho 
Maria Lurdes Breu ,PSD ,Estarreja 
Alfredo Oliveira Henriques ,PSD ,Feira 
Manuel Rocha Galante ,PSD  ,Ílhavo 
Rui Leal Marqueiro ,PS ,Mealhada 
Augusto Santos Leite ,PS ,Murtosa 
Ramiro Ferreira Alegria ,PSD  ,Oliveira de Azemeis 
Acílio Gala ,CDS ,Oliveira do Bairro 
José Guedes Costa ,PSD  ,Ovar 
Manuel Cambra ,CDS ,S. João da Madeira 
Manuel Silva Soares ,CDS  ,Sever do Vouga 
João Simões Rocha ,PSD ,Vagos 
Luis Bastos Pinho ,CDS ,Vale de Cambra 
Amares ,José C. Barbosa Macedo ,CDS 
Barcelos ,Fernando Ribeiro Reis ,PSD   
Braga  ,Francisco S. Mesquita Machado  ,PS  
Cabeceiras de Basto ,Mário C. Gonçalves Pereira ,PSD 
Celorico de Basto  ,Albertino T. Mota e Silva  ,PSD  
Esposende  ,Alberto Queiroga Figueiredo ,PSD 
Fafe  ,Parcídio M. Summavielle Soares  ,PS  
Guimarães  ,António Magalhães Silva ,PS 
Póvoa de Lanhoso ,José L. V. Pereira Portela ,CDS 
Terras de Bouro ,José António Araújo ,PSD 
Vieira do Minho ,Manuel Travessa Matos ,PS 
Vila Nova de Famalicão ,Agostinho Peixoto Fernandes ,PS  
Vila Verde ,António Cerqueira ,CDS 
Alfândega da Fé ,Manuel Cunha Silva ,PS 
Bragança  ,Luis Francisco Paula Mina ,PS 
Carrazeda de Ansiães  ,António João Ribeiro Sampaio ,PSD 
Freixo de Espada à Cinta ,António Alberto Madeira ,PS 
