Deniz Cruz de Ramos Padeiro ,PPD / PSD ,Águeda 
Rui Manuel Pereira Marques ,CDS - PP ,Albergaria-a-Velha 
Sílvio Henriques Cerveira ,PPD / PSD ,Anadia 
José Armando de Pinho Oliveira ,PS ,Arouca 
José Girão Pereira  ,CDS - PP ,Aveiro 
Antero Gaspar de Paiva Vieira ,PS  ,Castelo de Paiva 
José Barbosa Mota ,PS ,Espinho 
Vladimiro das Neves R. da Silva ,PS ,Estarreja 
Alfredo de Oliveira Henriques ,PPD / PSD ,Feira 
Humberto Rocha ,PS  ,Ílhavo 
Rui Manuel Leal Marqueiro ,PS ,Mealhada 
Augusto Carlos dos S. Leite ,PS ,Murtosa 
Ângelo da Silva Azevedo ,PPD / PSD ,Oliveira de Azemeis 
Acílio Domingues Gala ,CDS - PP ,Oliveira do Bairro 
Armando Franca Rodrigues Alves ,PS ,Ovar 
Manuel de Almeida Cambra ,CDS - PP ,S. João da Madeira 
Manuel da Silva Soares ,CDS - PP ,Sever do Vouga 
Carlos Fernandes Roseiro Bento ,CDS - PP ,Vagos 
António José de O Fonseca ,PPD / PSD ,Vale de Cambra 
Amares ,Tomé Silvério Gonçalves Macedo ,PPD / PSD 
Barcelos ,Fernando Ribeiro dos Reis ,PPD / PSD 
Braga  ,Francisco S. Mesquita Machado  ,PS  
Cabeceiras de Basto ,Joaquim Barroso de A. Barreto ,PS 
Celorico de Basto  ,Albertino T. da Mota e Silva ,PPD / PSD 
Esposende  ,Alberto Queiroga Figueiredo ,PPD / PSD 
Fafe  ,Parcídio M. Summavielle Soares  ,PS  
Guimarães  ,António Magalhães da Silva ,PS 
Póvoa de Lanhoso ,João Manuel H. Tinoco de Faria ,PS 
Terras de Bouro ,José António de Araújo ,PPD / PSD 
Vieira do Minho ,Manuel Travessa de Matos ,PS 
Vila Nova de Famalicão ,Agostinho Peixoto Fernandes ,PS  
Vila Verde ,António Cerqueira ,CDS - PP 
Alfândega da Fé ,Manuel Cunha Silva ,PS 
Bragança  ,Luis Francisco da Paula Mina ,PS 
Carrazeda de Ansiães  ,António João R. de Sampaio ,PPD / PSD 
Freixo de Espada à Cinta ,António Alberto Madeira ,PS 
Macedo de Cavaleiros  ,Manuel Luis Gomes Vaz ,PS 
Miranda do Douro  ,Júlio Meirinhos Santanas ,PS 
Mirandela  ,José Augusto Gama  ,PPD / PSD 
Mogadouro   ,Francisco António Castro Pires ,PS 
Torre de Moncorvo  ,Fernando António A. Ferreira ,PS 
