Manuel Castro Azevedo ,PPD / PSD ,Águeda 
Rui Manuel Pereira Marques ,CDS - PP ,Albergaria-a-Velha 
Litério Augusto Marques ,PPD / PSD ,Anadia 
José Armando de Pinho Oliveira ,PS ,Arouca 
Alberto Afonso Souto Miranda ,PS ,Aveiro 
Paulo Ramalheira Teixeira ,PPD / PSD ,Castelo de Paiva 
José Barbosa Mota ,PS ,Espinho 
Vladimiro das Neves R. Silva ,PS ,Estarreja 
Alfredo de Oliveira Henriques ,PPD / PSD ,Feira 
José Agostinho Ribau Esteves ,PPD / PSD ,Ílhavo 
Rui Manuel Leal Marqueiro ,PS ,Mealhada 
António Maria dos Santos Sousa ,PPD / PSD ,Murtosa 
Ângelo da Silva Azevedo ,PPD / PSD ,Oliveira de Azemeis 
Acílio Domingues Gala ,CDS - PP ,Oliveira do Bairro 
Armando Franca Rodrigues Alves ,PS ,Ovar 
Manuel de Almeida Cambra ,CDS - PP ,S. João da Madeira 
Manuel da Silva Soares ,CDS - PP ,Sever do Vouga 
Carlos Fernandes Roseiro Bento ,CDS - PP ,Vagos 
António José Oliveira Fonseca ,PPD / PSD ,Vale de Cambra 
Amares ,Tomé Silvério Gonçalves Macedo ,PPD / PSD 
Barcelos ,Fernando Ribeiro dos Reis ,PPD / PSD 
Braga  ,Francisco S. Mesquita Machado  ,PS  
Cabeceira de Basto ,Joaquim B. Almeida Barreto ,PS 
Celorico de Basto  ,Albertino Teixeira Mota Silva ,PPD / PSD 
Esposende  ,Alberto Queiroga Figueiredo ,PPD / PSD 
Fafe  ,José Manuel Martins Ribeiro ,PS  
Guimarães  ,António Magalhães da Silva ,PS 
Póvoa de Lanhoso ,João Manuel H. Tinoco de Faria ,PS 
Terras de Bouro ,José António de Araújo ,PPD / PSD 
Vieira do Minho ,Manuel Travessa de Matos ,PS 
Vila Nova de Famalicão ,Agostinho Peixoto Fernandes ,PS  
Vila Verde ,José Manuel Ferreira Fernandes ,PPD / PSD 
Alfândega da Fé ,Manuel Cunha Silva ,PS 
Bragança  ,António Jorge Nunes ,PPD / PSD 
Carrazeda de Ansiães  ,Eugénio Rodrigo Cardoso Castro ,PPD / PSD 
Freixo de Espada à Cinta ,Edgar Manuel Conceição Gata ,PPD / PSD 
Macedo de Cavaleiros  ,Manuel Luis Gomes Vaz ,PS 
Miranda do Douro  ,Manuel Rodrigo Martins ,PPD / PSD 
Mirandela  ,José Maria Lopes Silvano ,PPD / PSD 
Mogadouro   ,Francisco António Castro Pires ,PS 
Torre de Moncorvo  ,Fernando A. Aires Ferreira ,PS 
Vila Flor  ,Artur G. G. Vaz Pimentel ,PS  
Vimioso  ,José Manuel Fernandes Miranda ,PS  
Vinhais  ,José Carlos Taveira ,PS 
Belmonte ,António Pinto Dias Rocha ,PPD / PSD 
Castelo Branco  ,Joaquim Morão Lopes Dias ,PS 
Covilhã  ,Carlos Alberto Pinto ,PPD / PSD 
Fundão  ,José Maria de Brito Fortunato ,PS 
Idanha-a-Nova  ,Francisco de Sousa Batista ,PPD / PSD 
Oleiros  ,José Santos Marques ,PPD / PSD 
Penamacor  ,José Luis Oliveira Gonçalves ,PS 
Proença-a-Nova  ,Diamantino Ribeiro André ,PPD / PSD 
Sertã  ,José Manuel Carreto ,PPD / PSD 
Vila de Rei  ,Maria Irene C. Barata Joaquim ,PPD / PSD 
Vila Velha de Rodão  ,Vitor Manuel Pires Carmona ,PPD / PSD 
Arganil  ,PS ,Rui Miguel da Silva 
Cantanhede  ,PPD / PSD ,Jorge Manuel Catarino Santos 
Coimbra  ,PS ,Manuel Augusto Soares Machado 
Condeixa-a-Nova  ,PS  ,Jorge Manuel C. Teixeira Bento 
Figueira da Foz  ,PPD / PSD ,Pedro Miguel de Santana Lopes 
Góis  ,PS ,José Domingos Ascensão Cabeças 
Lousã   ,PS  ,Horácio André Antunes  
Mira  ,PS ,João Maria Ribeiro Reigota 
Miranda do Corvo  ,PS ,Jorge Manuel Fernandes Cosme 
Montemor-o-Velho  ,PS ,José M. Oliveira Sousa Antunes 
Oliveira do Hospital  ,Carlos A Moura Portugal Brito ,PPD / PSD 
Penacova ,Maurício Teixeira Marques ,PPD / PSD 
Penela ,PPD / PSD ,Fernando dos Santos Antunes 
Soure ,PPD / PSD ,João Eduardo Dias M. Gouveia 
Tábua ,Francisco Ivo de Lima Portela ,PS 
V. Nova de Poiares ,Jaime Carlos Marta Soares ,PPD / PSD 
Alandroal ,Margarida Lúcia Godinho ,PCP / PEV 
Arraiolos  ,Jerónimo José Correia Loios ,PCP / PEV 
Borba  ,João Manuel Rato Proença ,PCP / PEV 
Estremoz  ,Luis Filipe Pereira Mourinha ,PCP / PEV 
Évora  ,Abílio Miguel  J. D. Fernandes  ,PCP / PEV 
Montemor-o-Novo ,Carlos Manuel R. Pinto de Sá ,PCP / PEV 
Mora  ,José Manuel Manaia Sinogas ,PCP / PEV 
Mourão  ,José Manuel Santinha Lopes ,PS 
Portel  ,Norberto António Lopes Patinho ,PS 
Redondo  ,Alfredo Flamino Barroso  ,PCP / PEV 
Reguengos Monsaraz  ,Victor Manuel Barão Martelo  ,PS  
Vendas Novas ,João Teresa Ribeiro ,PCP / PEV 
Viana do Alentejo ,Estevão Manuel Machado Pereira ,PCP / PEV 
Vila Viçosa ,Manuel João F. Condenado ,PCP / PEV 
Albufeira  ,Arsénio Manuel Vieira Catuna ,PS 
Alcoutim  ,Francisco A Caimoto Amaral ,PPD / PSD 
Aljezur  ,Manuel José de Jesus Marreiros ,PCP / PEV 
Castro Marim  ,José Fernandes Estevens ,PPD / PSD 
Faro  ,Luis Manuel Fernandes Coelho ,PS 
Lagoa  ,Joaquim Carlos Piscarreta Rego ,PPD / PSD 
Lagos  ,José Valentim Rosado ,PPD / PSD 
Loulé  ,Joaquim Manuel S. Vairinhos ,PS 
Monchique  ,Carlos Alberto dos Santos Tuta ,PS  
Olhão  ,Francisco José Fernandes Leal ,PS  
Portimão  ,Nuno Alberto P. Mergulhão ,PS  
S. Brás de Alportel  ,José de Sousa Pires ,PS  
Silves  ,Maria Isabel F. Silva Soares ,PPD / PSD 
Tavira  ,José Macário Custódio Correia ,PPD / PSD 
Vila do Bispo ,Gilberto Repolho Reis Viegas ,PPD / PSD 
Vila Real de Santo António ,António Maria Farinha Murta ,PS 
Aguiar da Beira ,Augusto Fernando Andrade ,PPD / PSD 
Almeida ,José Costa Reis ,PPD / PSD 
Celorico da Beira ,Júlio Manuel dos Santos ,PS 
Figueira de Castelo Rodrigo ,Armando Pinto Lopes ,PPD / PSD 
Fornos de Algodres ,José Severino Miranda ,PPD / PSD 
Gouveia ,António José Santinho Pacheco ,PS 
Guarda ,Maria Carmo P. Almeida Borges ,PS 
Manteigas ,José Manuel C. Biscaia ,PPD / PSD 
Meda ,João Mourato L. Pinto ,PPD / PSD 
Pinhel ,António Miranda Cavalheiro ,PS 
Sabugal  ,António Esteves Morgado ,PPD / PSD 
Seia ,Eduardo Mendes de Brito ,PS 
Trancoso ,Júlio José S. Sarmento ,PPD / PSD 
Vila Nova de Foz Côa ,António Aguiar Gouveia ,PPD / PSD 
Alcobaça ,António Gonçalves Sapinho ,PPD / PSD 
Alvaiázere ,Álvaro Clemente P. Simões ,PPD / PSD 
Ansião ,Fernando Ribeiro Marques ,PPD / PSD 
Batalha ,António José Martins S. Lucas ,CDS - PP 
Bombarral ,António Carlos A Álvaro ,PPD / PSD 
Caldas da Rainha ,Fernando José da Costa ,PPD / PSD 
Castanheira de Pera ,Pedro Manuel B. Tomaz Henriques ,PS 
Figueiró dos Vinhos ,Fernando Manuel C. Manata ,PS 
Leiria ,Isabel Damasceno V. C. Costa ,PPD / PSD 
Marinha Grande ,Álvaro Neto Órfão ,PS 
Nazaré ,Jorge Codinha Antunes Barroso ,PPD / PSD 
Óbidos ,José António Pereira Júnior ,PS 
Pedrógão Grande ,João Manuel Gomes Marques ,PPD / PSD 
Peniche ,Jorge Manuel Rosendo Gonçalves ,PS 
Pombal ,Narciso Ferreira Mota ,PPD / PSD 
Porto de Mós ,José Maria Oliveira Ferreira ,PPD / PSD 
Alenquer ,PS ,Álvaro Joaquim Gomes Pedro 
Arruda dos Vinhos ,PPD / PSD ,Carlos Manuel Cruz Lourenço 
Azambuja ,PS ,João Francisco Gomes Benavente 
Cadaval ,PS ,Valentim Carvalho Matias 
Cascais ,PS ,José Luis Judas 
Lisboa ,PS/PCP/PEV/UDP ,João Barroso Soares 
Loures ,PCP / PEV ,Demétrio Carlos Alves 
Lourinhã ,PS ,José Manuel Dias Custódio 
Mafra ,PPD / PSD ,José Maria Ministro dos Santos 
Oeiras ,PPD / PSD ,Isaltino Afonso Morais 
Sintra ,PS ,Edite de Fátima S. M. Estrela 
Sobral de Monte Agraço ,António Lopes Bugalho ,PCP / PEV 
Vila Franca de Xira ,PS ,Maria Luz G. B. Ferreira Rosinha 
Amadora ,Joaquim Moreira Raposo ,PS 
Alter do Chão ,António Hemetério Airoso Cruz ,PPD / PSD 
Arronches ,Gil Conceição Palmeiro Romão ,PS 
Avis ,António Raimundo Bartolomeu ,PCP / PEV 
Campo Maior ,João Manuel Borrega Burrica ,PS 
Castelo de Vide ,Joaquim Pinto Ferreira Canário ,PS 
Crato ,José Correia da Luz ,PS 
Elvas ,José António Rondão Almeida ,PS 
Fronteira ,Pedro Namorado Lancha ,PPD / PSD 
Gavião ,Jorge Manuel Martins de Jesus ,PS 
Marvão ,Manuel Carrilho Bugalho ,PS 
Monforte ,Rui Manuel Maia Silva ,PCP / PEV 
Nisa ,José Manuel Semedo Basso ,PCP / PEV 
Ponte de Sor ,João José C. Taveira Pinto ,PS 
Portalegre ,Amílcar Joaquim Jesus Santos ,PS 
Sousel ,Emílio Manuel Minhoz Sabido ,PS 
Amarante ,Armindo José da Cunha Abreu ,PS 
Baião ,Emília dos Anjos Pereira Silva ,PPD / PSD 
Felgueiras ,M. Fátima Felgueiras Oliveira ,PS 
Gondomar ,Valentim dos Santos Loureiro ,PPD / PSD 
Lousada ,Jorge Manuel F. M. Magalhães ,PS 
Maia ,José Vieira de Carvalho ,PPD / PSD 
Marco de Canavezes ,Avelino Ferreira Torres ,CDS - PP 
Matosinhos ,José Narciso Rodrigues Miranda ,PS 
Paços de Ferreira ,Arménio da Assunção Pereira ,PPD / PSD 
Paredes ,José A Rodrigues da Fonseca ,PPD / PSD 
Penafiel ,Agostinho Moreira Gonçalves ,PS 
Porto ,Fernando Manuel Santos Gomes ,PS 
Póvoa Varzim ,José Macedo Vieira ,PPD / PSD 
Santo Tirso ,Joaquim Barbosa Ferreira Couto ,PS 
Valongo ,Fernando Horácio M. P. de Melo ,PPD / PSD 
Vila do Conde ,Mário Hermenegildo M. Almeida ,PS 
V. Nova Gaia ,Luis Filipe Meneses Lopes ,PPD / PSD 
Abrantes ,Nelson A Marques Carvalho ,PS 
Alcanena ,Luis Manuel da Silva Azevedo ,PS 
Almeirim ,José Joaquim G. Sousa Gomes ,PS 
Alpiarça ,Joaquim Luis Rosa do Céu ,PS 
Benavente ,António José Ganhão ,PCP / PEV 
Cartaxo ,José M. V. Conde Rodrigues ,PS 
Chamusca ,Sérgio M. Conceição Carrinho ,PCP / PEV 
Constância ,António Manuel Santos Mendes ,PCP / PEV 
Coruche ,Manuel de Azevedo Brandão ,PCP / PEV 
Entroncamento ,José Pereira da Cunha ,PS 
Ferreira do Zêzere ,Luis Ribeiro Pereira ,PPD / PSD 
Golegã ,José Tavares V. Silva Maltez ,PS 
Mação ,Elvino Vieira da Silva Pereira ,PPD / PSD 
Rio Maior ,Silvino Manuel Gomes Sequeira ,PS 
Salvaterra de Magos ,Ana Cristina Pardal Ribeiro ,PCP / PEV 
Santarém ,José Miguel Correia Noras ,PS 
Sardoal ,Fernando C. Moleirinho ,PPD / PSD 
Tomar ,António Paulino Silva Paiva ,PPD / PSD 
Torres Novas ,António M. Oliveira Rodrigues ,PS 
Vila Nova da Barquinha ,Vitor Miguel M. Arnault Pombeiro ,PS 
Vila Nova de Ourém ,David Pereira Catarino ,PPD / PSD 
Alcácer do Sal ,Manuel Rogério de Sousa Brito ,PCP / PEV 
Alcochete ,Miguel Boieiro ,PCP / PEV 
Almada ,Maria Emília G. Neto de Sousa ,PCP / PEV 
Barreiro ,Pedro Alberto C. A. Canário ,PCP / PEV 
Grândola ,Fernando António O Travassos ,PCP / PEV 
Moita ,João José de Almeida ,PCP / PEV 
Montijo ,Maria Amélia Macedo Antunes ,PS 
Palmela ,Carlos Manuel Barateiro Sousa ,PCP / PEV 
Santiago do Cacém ,Ramiro Francisco Guiomar Beja ,PCP / PEV 
Seixal ,Alfredo José Monteiro da Costa ,PCP / PEV 
Sesimbra ,Amadeu José Penin ,PS 
Setúbal ,Manuel da Mata Cáceres ,PS 
Sines ,Manuel Coelho Carvalho ,PCP / PEV 
Arcos de Valdevez ,Francisco Rodrigues de Araújo ,PPD / PSD 
Caminha ,Valdemar Augusto Pais Patrício ,PS 
Melgaço ,António Rui Esteves Solheiro ,PS 
Monção ,José Emílio Pedreira Moreira ,PS 
Paredes de Coura ,António Pereira Júnior ,PS 
Ponte da Barca ,António Cabral de Oliveira ,PPD / PSD 
Ponte de Lima ,José Daniel Rosas C. Rocha ,CDS - PP 
Valença ,Fernando Cosntantino F. Barbosa ,PS 
Viana do Castelo ,Defensor Oliveira Moura ,PS 
Vila Nova de Cerveira ,José Manuel Vaz Carpinteira ,PS 
Alijó ,Joaquim Alberto Oliveira Cerca ,PS 
Boticas ,Fernando Pereira Campos ,PPD / PSD 
Chaves ,Alexandre António Alves Chaves ,PS 
Mesão Frio ,Marco António Peres T. Silva ,PPD / PSD 
Mondim de Basto ,Fernando Carvalho B. P. Moura ,PPD / PSD 
Montalegre ,Fernando José Gomes Rodrigues ,PS 
Murça ,José Gomes ,PPD / PSD 
Peso da Régua ,Vitor Manuel R. F. de Almeida ,PS 
Ribeira de Pena ,João Noronha de Carvalho ,PS 
Sabrosa ,Orlando Manuel Pereira Vaz ,PPD / PSD 
Santa Marta de Penaguião ,Francisco José Guedes Ribeiro ,PS 
Valpaços ,Francisco Baptista Tavares ,PPD / PSD 
Vila Pouca de Aguiar ,Carlos Alberto C. Ambrósio ,PS 
Vila Real ,Manuel do Nascimento Martins ,PPD / PSD 
Armamar ,Hernani Pinto F. Almeida ,PPD / PSD 
Carregal do Sal ,Atílio dos Santos Nunes ,PPD / PSD 
Castro Daire ,João Augusto Matias Pereira ,PPD / PSD 
Cinfães ,José Manuel Pereira Pinto ,PS 
