Águeda ,Manuel Castro Azevedo ,PPD / PSD 
Albergaria-a-Velha ,João Agostinho Pinto Pereira ,PPD / PSD 
Anadia ,Litério Augusto Marques ,PPD / PSD 
Arouca ,José Armando de Pinho Oliveira ,PS 
Aveiro ,Alberto Afonso Souto de Miranda ,PS 
Castelo de Paiva ,Paulo Ramalheira Teixeira ,PPD / PSD 
Espinho ,José Barbosa Mota ,PS 
Estarreja ,José Eduardo Alves Valente de Matos ,PPD/PSD.CDS-PP 
Feira ,Alfredo Oliveira Henriques ,PPD / PSD 
Ílhavo ,José Agostinho Ribau Esteves ,PPD / PSD 
Mealhada ,Carlos Alberto da Costa Cabral ,PS 
Murtosa ,António Maria dos Santos Sousa ,PPD / PSD 
Oliveira de Azemeis ,Ápio Cláudio do Carmo Assunção ,PPD / PSD 
Oliveira do Bairro ,Acílio Domingues Gala ,CDS - PP 
Ovar ,Armando França Rodrigues Alves ,PS 
S. João da Madeira ,Manuel Castro de Almeida ,PPD / PSD 
Sever do Vouga ,Manuel da Silva Soares ,PS 
Vagos ,Rui Miguel Rocha da Cruz ,PPD / PSD 
Vale de Cambra ,Eduardo Manuel Martins Coelho ,PPD / PSD 
Aljustrel ,António José Gonçalves Soares Godinho ,PCP / PEV 
Alvito ,PS ,António Eduardo Sousa Paiva 
Barrancos ,Nelson José Costa Berjano ,PS 
Beja ,PCP / PEV ,José Manuel da Costa Carreira Marques  
Castro Verde ,PCP / PEV ,Fernando Sousa Caeiros  
Cuba ,PS ,Francisco António Galinha Orelha 
Ferreira do Alentejo ,Luis António Pita Ameixa ,PS 
Mértola ,PS ,Jorge Pulido Valente 
Moura ,PCP / PEV ,José Maria Prazeres Pós-de-Mina 
Odemira ,António Manuel Camilo Coelho ,PS 
Ourique ,PPD / PSD ,José Raul Guerreiro Mendes dos Santos 
Serpa ,PCP / PEV ,João Manuel Rocha da Silva  
Vidigueira ,António Rodrigues Mendonça ,PS 
Amares ,José Lopes Gonçalves Barbosa ,PS 
Barcelos ,Fernando Ribeiro dos Reis ,PPD / PSD 
Braga  ,Francisco Soares Mesquita Machado  ,PS  
Cabeceiras de Basto ,Joaquim Barroso de Almeida Barreto ,PS 
Celorico de Basto  ,Albertino da Mota e Silva ,PPD / PSD 
Esposende  ,Fernando João Couto e Cepa ,PPD / PSD 
Fafe  ,José Manuel Martins Ribeiro ,PS  
Guimarães  ,António Magalhães da Silva ,PS 
Póvoa de Lanhoso ,João Manuel Holbeche Tinoco de Faria ,PS 
Terras de Bouro ,António José Ferreira Afonso ,PPD / PSD 
Vieira do Minho ,Manuel Travessa de Matos ,PS 
Vila Nova de Famalicão ,Armindo Borges Alves da Costa ,PPD/PSD.CDS-PP 
Vila Verde ,José Manuel Ferreira Fernandes ,PPD / PSD 
