Águeda ,Gil Navais Resende da Fonseca,PS
Albergaria-a-Velha,João Agostinho Pinto Pereira,PPD/PDS
Anadia,Litério Augusto Marques,PPD/PSD
Arouca,José Artur Tavares Neves,PS
Aveiro ,Élio Manuel Delgado da Maia,PPD/PSD-CDS-PP
Paulo Ramalheira Teixeira,PPD/PSD,Castelo de Paiva 
Espinho ,José Barbosa Mota,PS
Estarreja ,José Eduardo Alves Valente de Matos,PPD/PSD-CDS-PP
Feira ,Alfredo de Oliveira Henriques,PPD/PSD
Ílhavo ,José Agostinho Ribau Esteves,PPD/PSD
Mealhada ,Carlos Alberto da Costa Cabral,PS
Murtosa ,António Maris dos Santos Sousa,PPD/PSD
Oliveira de Azemeis ,Ápio Claúdio do Carmo Assunção,PPD/PSD
Mário João da Silva Oliveira,PPD/PSD,Oliveira do Bairro 
Ovar ,Manuel Alves de Oliveira,PS
Manuel Castro de Almeida,PPD/PSD,S. João da Madeira 
Manuel da Silva Soares,PS,Sever do Vouga 
Vagos ,Rui Miguel Rocha da Cruz,PPD/PSD
José António Bastos da Silva,PPD/PSD,Vale de Cambra 
Aljustrel ,António José Gonçalves Soares Godinho,PCP/PEV
Almodôvar ,António José Messias do Rosário Sebastião,PPD/PSD
Alvito ,João Paulo de Almeida Lança Trindade,Independente
Barrancos ,António Pica Tereno,PCP/PEV
Beja ,Francisco da Cruz dos Santos,PCP/PEV
Castro Verde ,Fernando Sousa Caeiros,PCP/PEV
Cuba ,Francisco António Galinha Orelha,PS
Ferreira do Alentejo ,Aníbal Sousa Reis Coelho da Costa,PS
Mértola ,Jorge Pulido Valente,PS
Moura ,José Maria Prazeres Pós de Mina,PCP/PEV
Odemira ,António Manuel Camilo Coelho,PS
Ourique ,Pedro Nuno Raposo Prazeres do Carmo,PS
Serpa ,João Manuel Rocha da Silva,PCP/PEV
Vidigueira ,Manuel Luís da Rosa Narra,PCP/PEV
Vila Verde ,José Manuel Ferreira Fernandes,PPD/PSD
Vizela,Francisco Ângelo da Silva Ferreira ,PS
Viana do Alentejo ,PCP/PEV,Estevão Manuel Machado Pereira
Vila Viçosa ,Manuel João Fontaínhas Condenado,PCP/PEV
Lourinhã ,PS,José Manuel Dias Custódio 
Mafra ,José Maria Ministro dos Santos,PPD/PSD
Santarém ,PPD/PSD,Francisco Maria Moita Flores
Sardoal ,Fernando Constantino Moleirinho,PPD/PSD
Penedono ,PPD/PSD,João Manuel Rodrigues de Carvalho
Resende ,António Manuel Leitão Borges,PS
Santa Comba Dão ,João António de Sousa Pais Lourenço ,PPD/PSD-CDS-PP
São João da Pesqueira ,António José Lima Costa,PPD/PSD
São Pedro do Sul ,António Carlos Ferreira Rodrigues de Figueiredo,PPD/PSD
Sátão ,Alexandre Manuel Mendonça Vaz,PPD/PSD
Sernancelhe ,José Mario de Almeida Cardoso,PPD/PSD
Tabuaço ,José Carlos Pinto dos Santos,PPD/PSD
Tarouca ,Mário Caetano Teixeira Ferreira,PS
Tondela ,Carlos Manuel Marta Gonçalves,PPD/PSD
Vila Nova de Paiva ,Manuel Marques Custódio,PPD/PSD
Viseu ,Fernando de Carvalho Ruas,PPD/PSD
Vouzela ,Armindo Telmo Antunes Ferreira,PPD/PSD
PPD/PSD,São Vicente,José Humberto de Sousa Vasconcelos
