"9790"|"128"|"Pedro Manuel Cruz Roseta"|"29-06-1943"|"JURISTA"|"2010-08-07 00:07:51"
"9791"|"129"|"Pedro Manuel Mamede Passos Coelho"|"24-07-1964"|"ESTUDANTE UNIVERSITARIO"|"2010-08-07 00:07:52"
"9792"|"130"|"Rui Alberto Limpo Salvada"|"25-03-1943"|"JURISTA"|"2010-08-07 00:07:54"
"9793"|"131"|"Rui Carlos Alvarez Carp"|"21-04-1950"|"ECONOMISTA"|"2010-08-07 00:07:55"
"9794"|"132"|"Rui Fernando da Silva Rio"|"06-08-1957"|"ECONOMISTA"|"2010-08-07 00:07:57"
"9795"|"133"|"Rui Manuel Lobo Gomes da Silva"|"23-08-1958"|"Advogado"|"2010-08-07 00:07:58"
"9796"|"134"|"Rui Manuel Parente Chancerelle de Machete"|"07-04-1940"|"ADVOGADO"|"2010-08-07 00:08:00"
"9797"|"135"|"Simão José Ricon Peres"|"09-02-1945"|"GERENTE COMERCIAL"|"2010-08-07 00:08:01"
"9798"|"136"|"Telmo Jose Moreno"|"20-05-1947"|"MEDICO"|"2010-08-07 00:08:03"
"9799"|"137"|"Vasco Francisco Aguiar Miguel"|"27-06-1949"|"ENOLOGO"|"2010-08-07 00:08:04"
"9800"|"138"|"Virgílio de Oliveira Carneiro"|"27-03-1940"|"PROFESSOR DO ENSINO SECUNDARIO"|"2010-08-07 00:08:05"
"9801"|"139"|"Vítor Manuel da Igreja Raposo"|"01-06-1966"|"EMPRESARIO"|"2010-08-07 00:08:07"
"9802"|"140"|"Vítor Pereira Crespo"|"02-12-1932"|"PROFESSOR CATEDRATICO"|"2010-08-07 00:08:08"
"9803"|"141"|"Abílio Aleixo Curto"|"01-01-1941"|"BANCARIO"|"2010-08-07 00:08:09"
"9804"|"142"|"Alberto Arons Braga de Carvalho"|"20-09-1949"|"Docente Universitário"|"2010-08-07 00:08:11"
"9805"|"143"|"Alberto Bernardes Costa"|"16-08-1947"|"Advogado"|"2010-08-07 00:08:13"
"9806"|"144"|"Alberto Manuel Avelino"|"26-11-1940"|"PROFESSOR DO ENSINO SECUNDARIO"|"2010-08-07 00:08:15"
"9807"|"145"|"Américo Albino da Silva Salteiro"|"13-08-1934"|"PROFISSIONAL DE SEGUROS (APOSENTADO)"|"2010-08-07 00:08:16"
"9808"|"146"|"Ana Maria Dias Bettencourt"|"08-01-1946"|"PROFESSORA-COORDENADORA (ENSINO POLITECNICO)"|"2010-08-07 00:08:18"
"9809"|"147"|"António de Almeida Santos"|"15-02-1926"|"JURISTA"|"2010-08-07 00:08:19"
"9810"|"148"|"António Alves Marques Júnior"|"03-07-1946"|"Oficial do Exercito na situação de reforma extraordinária"|"2010-08-07 00:08:22"
"9811"|"149"|"António Alves Martinho"|"02-03-1949"|"PROFESSOR DO ENSINO PREPARATORIO"|"2010-08-07 00:08:23"
"9812"|"150"|"António Carlos Ribeiro Campos"|"04-07-1938"|"ENGENHEIRO TECNICO AGRARIO"|"2010-08-07 00:08:25"
"9813"|"151"|"Antonio Domingues de Azevedo"|"07-04-1950"|"CONTABILISTA (TECNICO DE CONTAS)"|"2010-08-07 00:08:26"
"9814"|"152"|"António Fernandes da Silva Braga"|"21-04-1953"|"Inspector da Inspecção Geral de Ensino"|"2010-08-07 00:08:28"
"9815"|"153"|"António Fernando Correia de Campos"|"14-12-1942"|"PROFESSOR (ESCOLA NACIONAL DE SAUDE PUBLICA)"|"2010-08-07 00:08:30"
"9816"|"154"|"António José Borrani Crisóstomo Teixeira"|"18-07-1942"|"GESTOR"|"2010-08-07 00:08:31"
"9817"|"155"|"António José Martins Seguro"|"11-03-1962"|"Docente Universitário;"|"2010-08-07 00:08:34"
"9818"|"156"|"António Luís Santos da Costa"|"17-07-1961"|"ADVOGADO"|"2010-08-07 00:08:35"
"9819"|"157"|"Antonio Ribeiro Marques da Silva"|"31-07-1932"|"PROFESSOR DO ENSINO SECUNDARIO"|"2010-08-07 00:08:36"
"9820"|"158"|"Armando António Martins Vara"|"27-03-1954"|"FUNCIONARIO DA CAIXA GERAL DE DEPOSITOS"|"2010-08-07 00:08:38"
"9821"|"159"|"Artur Rodrigues Pereira dos Penedos"|"20-09-1950"|"EMPREGADO BANCÁRIO"|"2010-08-07 00:08:39"
"9822"|"160"|"Carlos Cardoso Lage"|"21-11-1944"|"Professor"|"2010-08-07 00:08:41"
"9823"|"161"|"Carlos Manuel Luís"|"23-05-1950"|"Professor do Ensino Secundário"|"2010-08-07 00:08:43"
"9824"|"162"|"Edite Fátima Santos Marreiros Estrela"|"28-10-1949"|"PROFESSORA DO ENSINO SECUNDARIO"|"2010-08-07 00:08:45"
