"GC"|"Início"|"Fim"|"Primeiro-Ministro"
"GC01"|23-07-1976|22-01-1978|"Mário Soares"
"GC02"|23-01-1978|27-08-1978|"Mário Soares"
"GC03"|28-08-1978|20-11-1978|"Alfredo Nobre Costa"
"GC04"|21-11-1978|30-07-1979|"Carlos Mota Pinto"
"GC05"|31-07-1079|02-01-1980|"Maria de Lurdes Pintasilgo"
"GC06"|03-01-1980|04-12-1980|"Francisco Sá Carneiro"
"GC06"|04-12-1980|08-01-1981|"Diogo Freitas do Amaral"
"GC07"|09-01-1981|03-09-1981|"Francisco Pinto Balsemão"
"GC08"|04-09-1981|08-06-1983|"Francisco Pinto Balsemão"
"GC09"|09-06-1983|05-11-1985|"Mário Soares"
"GC10"|06-11-1985|16-08-1987|"Aníbal Cavaco Silva"
"GC11"|17-08-1987|30-10-1991|"Aníbal Cavaco Silva"
"GC12"|31-10-1991|27-10-1995|"Aníbal Cavaco Silva"
"GC13"|28-10-1995|24-10-1999|"António Guterres"
"GC14"|25-10-1999|05-04-2002|"António Guterres"
"GC15"|06-04-2002|16-07-2004|"José Manuel Durão Barroso"
"GC16"|17-07-2004|11-03-2005|"Pedro Santana Lopes"
"GC17"|12-03-2005|25-10-2009|"José Sócrates"
"GC18"|26-10-2009|20-06-2011|"José Sócrates"
"GC19"|21-06-2011||"Pedro Passos Coelho"
