"Governo"|"MP_id"|"Nome deputado"|"Nome do cargo"|"Data de início"|"Data de fim"
"GC01"||"Albérico Santos Machado"|"Subsecretário de Estado da Habitação, Urbanismo e Construção"|23-07-1976|22-01-1978
"GC01"||"Alfredo Nobre da Costa"|"Ministro da Indústria e Tecnologia"|23-07-1976|22-01-1978
"GC01"||"Alfredo Nobre da Costa"|"Ministro da Indústria e Tecnologia"|25-03-1977|22-01-1978
"GC01"||"Antero Monteiro Dinis"|"Subsecretário de Estado Adjunto do Primeiro-Ministro"|23-07-1976|22-01-1978
"GC01"||"António Azevedo Gomes"|"Subsecretário de Estado das Florestas"|28-07-1976|05-11-1976
"GC01"|2927|"António Barreto"|"Ministro do Comércio e Turismo"|23-07-1976|25-03-1977
"GC01"|2927|"António Barreto"|"Ministro da Agricultura e Pescas"|23-07-1976|22-01-1978
"GC01"|147|"António de Almeida Santos"|"Ministro da Justiça"|23-07-1976|22-01-1978
"GC01"|318|"António Lopes Cardoso"|"Ministro da Agricultura e Pescas"|23-07-1976|05-11-1976
"GC01"|3230|"António Maldonado Gonelha"|"Ministro do Trabalho"|23-07-1976|22-01-1978
"GC01"|3543|"António Sousa Gomes"|"Ministro do Plano e Coordenação Económica"|23-07-1976|22-01-1978
"GC01"|3543|"António Sousa Gomes"|"Ministro da Indústria e Tecnologia"|07-01-1977|25-03-1977
"GC01"|3691|"Armando Bacelar"|"Ministro dos Assuntos Sociais"|23-07-1976|22-01-1978
"GC01"|3273|"Carlos Mota Pinto"|"Ministro do Comércio e Turismo"|23-07-1976|22-01-1978
"GC01"||"Custódio Simões"|"Subsecretário de Estado do Trabalho"|28-07-1976|12-10-1977
"GC01"||"Eduardo Pereira"|"Ministro da Habitação, Urbanismo e Construção"|23-07-1976|22-01-1978
"GC01"|3690|"Emílio Rui Vilar"|"Ministro dos Transportes e Comunicações"|23-07-1976|22-01-1978
"GC01"||"Eurico Ferreira Nunes"|"Subsecretário de Estado das Finanças"|23-07-1976|22-01-1978
"GC01"|3186|"Francisco Marcelo Curto"|"Ministro do Trabalho"|23-07-1976|25-03-1977
"GC01"|3656|"Henrique de Barros"|"Ministro de Estado"|23-07-1976|22-01-1978
"GC01"||"Henrique Medina Carreira"|"Ministro das Finanças"|23-07-1976|22-01-1978
"GC01"||"Hugo Gonçalves Rocha"|"Subsecretário de Estado da Administração Interna"|28-07-1976|12-10-1977
"GC01"||"João Almeida Pina"|"Ministro das Obras Públicas"|23-07-1976|22-01-1978
"GC01"|3802|"João Soares Louro"|"Subsecretário de Estado da Comunicação Social"|28-07-1976|25-03-1977
"GC01"|3180|"Jorge Campinos"|"Ministro sem Pasta"|23-07-1976|22-01-1978
"GC01"||"José Achando Cabral"|"Subsecretário de Estado do Tesouro"|28-07-1976|25-03-1977
"GC01"|1467|"José Medeiros Ferreira"|"Ministro dos Negócios Estrangeiros"|23-07-1976|12-10-1977
"GC01"||"Ludovico Cândido"|"Subsecretário de Estado do Orçamento"|23-07-1976|22-01-1978
"GC01"||"Manuel da Costa Brás"|"Ministro da Administração Interna"|23-07-1976|22-01-1978
"GC01"||"Mário Firmino Miguel"|"Ministro da Defesa Nacional"|23-07-1976|22-01-1978
"GC01"|3177|"Mário Soares"|"Primeiro-Ministro"|23-07-1976|22-01-1978
"GC01"|3177|"Mário Soares"|"Ministro dos Negócios Estrangeiros"|23-07-1976|05-11-1976
"GC01"|3177|"Mário Soares"|"Ministro dos Negócios Estrangeiros"|12-10-1977|22-01-1978
"GC01"|3055|"Mário Sottomayor Cardia"|"Ministro da Educação e Investigação Científica"|23-07-1976|22-01-1978
"GC01"|3183|"Walter Rosa"|"Ministro da Indústria e Tecnologia"|23-07-1976|07-01-1977
"GC02"|233|"Alberto Oliveira e Silva"|"Ministro da Administração Interna"|30-01-1978|27-02-1978
"GC02"||"Alexandre Sobral Torres"|"Subsecretário de Estado Adjunto do Ministro das Finanças e Plano"|23-01-1978|27-08-1978
"GC02"||"António Arnault"|"Ministro dos Assuntos Sociais"|23-01-1978|27-08-1978
"GC02"|147|"António de Almeida Santos"|"Ministro Adjunto do Primeiro Ministro"|23-01-1978|27-08-1978
"GC02"|3230|"António Maldonado Gonelha"|"Ministro do Trabalho"|23-01-1978|27-08-1978
"GC02"||"António Sousa Gomes"|"Ministro da Habitação e Obras Públicas"|23-01-1978|27-08-1978
"GC02"|1740|"Basílio Horta"|"Ministro do Comércio e Turismo"|23-01-1978|27-08-1978
"GC02"|3154|"Carlos Melancia"|"Ministro da Indústria e Tecnologia"|23-01-1978|27-08-1978
"GC02"|173|"Jaime Gama"|"Ministro da Administração Interna"|27-02-1978|27-08-1978
"GC02"||"José de Oliveira Marques"|"Subsecretário de Estado do Tesouro"|23-01-1978|27-08-1978
"GC02"||"Ludovico Cândido"|"Subsecretário de Estado do Orçamento"|23-01-1978|23-01-1978
"GC02"||"Ludovico Cândido"|"Subsecretário de Estado do Orçamento"|06-02-1978|27-08-1978
"GC02"|3200|"Luís Saias"|"Ministro da Agricultura e Pescas"|23-01-1978|27-08-1978
"GC02"|3698|"Manuel Ferreira Lima"|"Ministro dos Transportes e Comunicações"|23-01-1978|27-08-1978
"GC02"|3177|"Mário Soares"|"Primeiro-Ministro"|23-01-1978|27-08-1978
"GC02"|3055|"Mário Sottomayor Cardia"|"Ministro da Educação e Cultura"|23-01-1978|27-08-1978
"GC02"|3068|"Raúl Junqueiro"|"Subsecretário de Estado Adjunto do Ministro da Educação e Cultura"|23-01-1978|27-08-1978
"GC02"|3601|"Rui Pena"|"Ministro da Reforma Administrativa"|23-01-1978|27-08-1978
"GC02"|3083|"Vitor Constâncio"|"Ministro das Finanças e Plano"|23-01-1978|27-08-1978
"GC02"||"Vítor Sá Machado"|"Ministro dos Negócios Estrangeiros"|23-01-1978|27-08-1978
"GC03"||"Alfredo Nobre da Costa"|"Primeiro-Ministro"|28-08-1978|20-11-1978
"GC03"||"Carlos Costa Freitas"|"Ministro Adjunto do Primeiro Ministro"|28-08-1978|20-11-1978
"GC03"||"Mário Firmino Miguel"|"Ministro da Defesa Nacional"|28-08-1978|20-11-1978
"GC03"||"José da Silva Lopes"|"Ministro das Finanças e Plano"|28-08-1978|20-11-1978
"GC03"||"António Gonçalves Ribeiro"|"Ministro da Administração Interna"|28-08-1978|20-11-1978
