285|Primeiro-Ministro|2009-10-26||
2011|Ministro da Presidência|2009-10-26||
538|Ministro de Estado e dos Negócios Estrangeiros|2009-10-26||
4132|Ministro de Estado e das Finanças e da Administração Pública|2009-10-26||
1278|Ministro da Defesa Nacional|2009-10-26||
|Ministro da Administração Interna|2009-10-26||
462|Ministro da Justiça|2009-10-26||
|Ministra do Ambiente e do Ordenamento do Território|2009-10-26||
1867|Ministro da Economia, da Inovação e do Desenvolvimento|2009-10-26||
|Ministro da Agricultura, do Desenvolvimento Rural e das Pescas|2009-10-26||
|Ministro das Obras Públicas, Transportes e Comunicações|2009-10-26||
|Ministra do Trabalho e da Solidariedade Social|2009-10-26||
3986|Ministra da Saúde|2009-10-26||
|Ministra da Educação|2009-10-26||
|Ministro da Ciência, Tecnologia e Ensino Superior|2009-10-26||
1851|Ministra da Cultura|2009-10-26||
179|Ministro dos Assuntos Parlamentares|2009-10-26||
