128,Pedro Manuel Cruz Roseta,2010-08-07 00:07:51
129,Pedro Manuel Mamede Passos Coelho,2010-08-07 00:07:52
130,Rui Alberto Limpo Salvada,2010-08-07 00:07:54
131,Rui Carlos Alvarez Carp,2010-08-07 00:07:55
132,Rui Fernando da Silva Rio,2010-08-07 00:07:57
133,Rui Manuel Lobo Gomes da Silva,2010-08-07 00:07:58
134,Rui Manuel Parente Chancerelle de Machete,2010-08-07 00:08:00
135,Simão José Ricon Peres,2010-08-07 00:08:01
136,Telmo Jose Moreno,2010-08-07 00:08:03
137,Vasco Francisco Aguiar Miguel,2010-08-07 00:08:04
138,Virgílio de Oliveira Carneiro,2010-08-07 00:08:05
139,Vítor Manuel da Igreja Raposo,2010-08-07 00:08:07
140,Vítor Pereira Crespo,2010-08-07 00:08:08
141,Abílio Aleixo Curto,2010-08-07 00:08:09
142,Alberto Arons Braga de Carvalho,2010-08-07 00:08:11
143,Alberto Bernardes Costa,2010-08-07 00:08:13
144,Alberto Manuel Avelino,2010-08-07 00:08:15
145,Américo Albino da Silva Salteiro,2010-08-07 00:08:16
146,Ana Maria Dias Bettencourt,2010-08-07 00:08:18
147,António de Almeida Santos,2010-08-07 00:08:19
148,António Alves Marques Júnior,2010-08-07 00:08:22
149,António Alves Martinho,2010-08-07 00:08:23
150,António Carlos Ribeiro Campos,2010-08-07 00:08:25
151,Antonio Domingues de Azevedo,2010-08-07 00:08:26
152,António Fernandes da Silva Braga,2010-08-07 00:08:28
153,António Fernando Correia de Campos,2010-08-07 00:08:30
154,António José Borrani Crisóstomo Teixeira,2010-08-07 00:08:31
155,António José Martins Seguro,2010-08-07 00:08:34
156,António Luís Santos da Costa,2010-08-07 00:08:35
157,Antonio Ribeiro Marques da Silva,2010-08-07 00:08:36
158,Armando António Martins Vara,2010-08-07 00:08:38
159,Artur Rodrigues Pereira dos Penedos,2010-08-07 00:08:39
160,Carlos Cardoso Lage,2010-08-07 00:08:41
161,Carlos Manuel Luís,2010-08-07 00:08:43
162,Edite Fátima Santos Marreiros Estrela,2010-08-07 00:08:45
163,Eduardo Luís Barreto Ferro Rodrigues,2010-08-07 00:08:47
164,Eduardo Ribeiro Pereira,2010-08-07 00:08:48
165,Elisa Maria Ramos Damião,2010-08-07 00:08:49
166,Eurico Jose Palheiros de Carvalho Figueiredo,2010-08-07 00:08:50
167,Fernando Alberto Pereira Marques,2010-08-07 00:08:51
168,Fernando Alberto Pereira de Sousa,2010-08-07 00:08:53
169,Fernando Manuel Lucio Marques da Costa,2010-08-07 00:08:54
170,Guilherme Valdemar Pereira de Oliveira Martins,2010-08-07 00:08:56
171,Gustavo Rodrigues Pimenta,2010-08-07 00:08:57
172,Helena de Melo Torres Marques,2010-08-07 00:13:24
174,João António Gomes Proença,2010-08-07 00:13:27
175,Joao Eduardo Coelho Ferraz de Abreu,2010-08-07 00:13:28
176,João Maria de Lemos de Menezes Ferreira,2010-08-07 00:13:29
177,João Rui Gaspar de Almeida,2010-08-07 00:13:30
178,Joaquim Américo Fialho Anastácio,2010-08-07 00:13:31
179,Jorge Lacão Costa,2010-08-07 00:13:33
180,Jorge Paulo Sacadura Almeida Coelho,2010-08-07 00:13:34
181,José Alberto Rebelo dos Reis Lamego,2010-08-07 00:13:36
182,Jose Antonio Martins Goulart,2010-08-07 00:13:37
183,José Apolinário Nunes Portada,2010-08-07 00:13:38
184,José Barbosa Mota,2010-08-07 00:13:39
185,José Eduardo Vera Cruz Jardim,2010-08-07 00:13:41
186,José Ernesto Figueira dos Reis,2010-08-07 00:13:42
187,José Manuel Lello Ribeiro de Almeida,2010-08-07 00:13:44
188,Jose Manuel Oliveira Gameiro dos Santos,2010-08-07 00:13:45
189,José Manuel Santos de Magalhães,2010-08-07 00:13:47
190,José Maximiano de Albuquerque Almeida Leitão,2010-08-07 00:13:49
191,José Narciso Rodrigues de Miranda,2010-08-07 00:13:50
192,José Rodrigues Pereira dos Penedos,2010-08-07 00:13:51
193,Júlio Francisco Miranda Calha,2010-08-07 00:13:53
194,Júlio da Piedade Nunes Henriques,2010-08-07 00:13:54
195,Leonor Coutinho Pereira dos Santos,2010-08-07 00:13:56
196,Luís Filipe Nascimento Madeira,2010-08-07 00:13:57
197,Luís Manuel Capoulas Santos,2010-08-07 00:13:58
198,Manuel Antonio dos Santos,2010-08-07 00:14:00
199,Maria Julieta Ferreira Baptista Sampaio,2010-08-07 00:14:01
200,Maria Teresa Doria Santa Clara Gomes,2010-08-07 00:14:02
201,Mário Manuel Videira Lopes,2010-08-07 00:14:03
202,Raúl Fernando Sousela da Costa Brito,2010-08-07 00:14:04
203,Rogério da Conceição Serafim Martins,2010-08-07 00:14:06
204,Rosa Maria da Silva Bastos da Horta Albernaz,2010-08-07 00:14:08
205,Rui António Ferreira da Cunha,2010-08-07 00:14:10
206,Rui do Nascimento Rabaça Vieira,2010-08-07 00:14:12
207,Vitor Manuel Caio Roque,2010-08-07 00:14:13
208,Agostinho Nuno de Azevedo Ferreira Lopes,2010-08-07 00:14:15
209,António Filipe Gaião Rodrigues,2010-08-07 00:14:18
210,Jerónimo Carvalho de Sousa,2010-08-07 00:14:20
211,João António Gonçalves do Amaral,2010-08-07 00:14:21
212,João Cerveira Corregedor da Fonseca,2010-08-07 00:14:23
213,José Manuel Maia Nunes de Almeida,2010-08-07 00:14:24
214,José Manuel Tavares Reis Morais,2010-08-07 00:14:25
215,Lino António Marques de Carvalho,2010-08-07 00:14:26
216,Luís Manuel da Silva Viana de Sá,2010-08-07 00:14:27
217,Manuel Rogério de Sousa Brito,2010-08-07 00:14:28
218,Maria de Lourdes Dias Fernandes Hespanhol,2010-08-07 00:14:30
219,Maria Odete dos Santos,2010-08-07 00:14:32
220,Mário António Baptista Tomé,2010-08-07 00:14:33
221,Miguel Urbano Tavares Rodrigues,2010-08-07 00:14:34
222,Octávio Augusto Teixeira,2010-08-07 00:14:35
223,Adriano Jose Alves Moreira,2010-08-07 00:14:36
224,Casimiro da Silva Tavares,2010-08-07 00:14:37
225,José Girão Pereira,2010-08-07 00:14:38
226,Jose Luis Nogueira de Brito,2010-08-07 00:14:39
227,Manuel de Almeida Cambra,2010-08-07 00:14:41
228,Manuel Tomás Cortez Rodrigues Queiró,2010-08-07 00:14:42
229,Narana Sinai Coissoró,2010-08-07 00:14:43
230,André Valente Martins,2010-08-07 00:14:44
231,Isabel Maria de Almeida e Castro,2010-08-07 00:14:45
232,Manuel Sérgio Vieira e Cunha,2010-08-07 00:14:46
233,Alberto Marques de Oliveira e Silva,2010-08-07 00:14:47
234,Carlos Manuel Natividade da Costa Candal,2010-08-07 00:14:49
235,Manuel Alegre de Melo Duarte,2010-08-07 00:14:51
236,Carlos Alberto do Vale Gomes Carvalhas,2010-08-07 00:14:52
237,Fernando Manuel Alves Cardoso Ferreira,2010-08-07 00:14:54
238,Antonio de Carvalho Martins,2010-08-07 00:14:55
239,António dos Santos Pires Afonso,2010-08-07 00:14:56
240,José Agostinho Ribau Esteves,2010-08-07 00:14:57
241,Alípio da Assunção Sol,2010-08-07 00:14:58
242,Joao Costa da Silva,2010-08-07 00:14:59
243,José de Oliveira Bastos,2010-08-07 00:15:01
244,Manuel Antonio da Rocha Pereira,2010-08-07 00:15:02
245,Faustino Alves de Matos,2010-08-07 00:15:03
246,Hermínio José Sobral Loureiro Gonçalves,2010-08-07 00:15:05
247,Eduardo Manuel Simões dos Santos Girão,2010-08-07 00:15:06
248,Jose Manuel Alves Elias da Costa,2010-08-07 00:15:07
249,José Mendes Bota,2010-08-07 00:15:09
250,Luis Manuel das Neves Rodrigues,2010-08-07 00:15:10
251,Antonio Marciano Graça Lopes,2010-08-07 00:15:12
252,Amilcar António Bengla Mourão,2010-08-07 00:15:13
253,José Amaro Freire Marreiros Figueira,2010-08-07 00:15:14
254,Maria Lisalete Martins Piçarra de Oliveira Pombeiro,2010-08-07 00:15:16
255,José António Lameira da Silva,2010-08-07 00:15:17
256,Eurico Silva Teixeira de Melo,2010-08-07 00:15:18
257,Isabel Maria Lucena Vasconcelos Cruz de Almeida Mota,2010-08-07 00:15:20
258,Antonio Joaquim Bastos Marques Mendes,2010-08-07 00:15:21
259,Amândio Santa Cruz Domingues Basto Oliveira,2010-08-07 00:15:22
260,Fernando Ribeiro dos Reis,2010-08-07 00:15:23
261,Fernando Jose da Costa,2010-08-07 00:15:25
262,Laurentino José Monteiro Castro Dias,2010-08-07 00:15:27
263,Luís Emídio Lopes Mateus Fazenda,2010-08-07 00:15:29
