Column	Column2
128	N/A
129	N/A
130	N/A
131	N/A
132	N/A
133	N/A
134	N/A
135	N/A
136	N/A
137	N/A
138	N/A
139	N/A
140	N/A
141	N/A
142	N/A
143	Alberto Costa
144	N/A
145	N/A
146	N/A
147	N/A
148	Marques Júnior
149	N/A
150	N/A
151	N/A
152	António Braga
153	N/A
154	N/A
155	António José Seguro
156	N/A
157	N/A
158	N/A
159	N/A
160	N/A
161	N/A
162	N/A
163	N/A
164	N/A
165	N/A
166	N/A
167	N/A
168	N/A
169	N/A
170	N/A
171	N/A
172	N/A
174	N/A
175	N/A
176	N/A
177	N/A
178	N/A
179	Jorge Lacão
180	N/A
181	N/A
182	N/A
183	N/A
184	N/A
185	José Vera Jardim
186	N/A
187	José Lello
188	N/A
189	José Magalhães
190	N/A
191	N/A
192	N/A
193	Miranda Calha
194	N/A
195	N/A
196	N/A
197	N/A
198	N/A
199	N/A
200	N/A
201	N/A
202	N/A
203	N/A
204	Rosa Maria Albernaz
205	N/A
206	N/A
207	N/A
208	Agostinho Lopes
209	António Filipe
210	Jerónimo de Sousa
211	N/A
212	N/A
213	N/A
214	N/A
215	N/A
216	N/A
217	N/A
218	N/A
219	N/A
220	N/A
221	N/A
222	N/A
223	N/A
224	N/A
225	N/A
226	N/A
227	N/A
228	N/A
229	N/A
230	N/A
231	N/A
232	N/A
233	N/A
234	N/A
235	N/A
236	N/A
237	N/A
238	N/A
239	N/A
240	N/A
241	N/A
242	N/A
243	N/A
244	N/A
245	N/A
246	N/A
247	N/A
248	N/A
249	Mendes Bota
250	N/A
251	N/A
252	N/A
253	N/A
254	N/A
255	N/A
256	N/A
257	N/A
258	N/A
259	N/A
260	N/A
261	N/A
262	Laurentino Dias
263	Luís Fazenda
264	N/A
265	N/A
266	N/A
267	N/A
268	N/A
269	N/A
270	N/A
271	N/A
272	N/A
273	N/A
274	N/A
275	N/A
276	N/A
277	N/A
278	N/A
279	N/A
280	N/A
281	N/A
282	N/A
283	N/A
284	N/A
285	José Sócrates
286	N/A
287	N/A
288	Luís Capoulas
289	N/A
290	N/A
