Presidente|Presidente|Srs. Deputados, temos quórum, pelo que declaro aberta a sessão.
Presidente|Presidente|Srs. Deputados, não há expediente mas cumpre-me, antes de mais, informar que estão abertas as urnas para a eleição de um juiz para o Tribunal Constitucional e que o acto eleitoral encerrará 15 minutos após o termo da sessão plenária.\n A nossa ordem do dia de hoje resulta de um agendamento potestativo do Bloco de Esquerda e destina-se à apreciação, na generalidade, do projecto de lei n.º 12/XI (1.ª) — Altera as regras da atribuição do subsídio de desemprego, introduzindo uma maior justiça social (BE), sendo também apreciados, em consequência, os conjuntamente, os projectos de lei n. 5/XI (1.ª) — Reforça a protecção social em situação de desemprego (PCP) e 133/XI (1.ª) — Alteração ao Decreto-Lei n.º 220/2006, de 3 de Novembro, alarga o apoio aos beneficiários do subsídio de desemprego e estimula a contratação de desempregados (CDS-PP).\n Para apresentar o projecto de lei do Bloco de Esquerda, tem a palavra o Sr. Deputado Francisco Louçã.\n
Francisco Louçã|BE|Sr. Presidente, Sr. e Srs. Deputados: Todos os que estamos presentes nesta sessão, em agendamento potestativo do Bloco de Esquerda, temos, certamente, consciência de que hoje é o primeiro dia de debate do Orçamento do Estado.\n É certo que o Orçamento do Estado tem vindo a ser tratado na penumbra de negociações no Terreiro do Paço, mas, sendo responsabilidade do Parlamento a decisão sobre a utilização do dinheiro público e a resposta aos problemas essenciais do País na questão do Orçamento, é uma vantagem para a clarificação e transparência da decisão pública que esta questão tão importante sobre o subsídio de desemprego seja hoje tratada pelo Parlamento.\n É, portanto, uma questão de governabilidade, sim, senhor! Discute-se se o Parlamento toma uma decisão para responder a uma das questões mais importantes da vida económica e social do País: a de 300 000 homens e mulheres, no desemprego há tantos anos e sem a oportunidade de trabalho que desejam, virem ou não a ter o mínimo de apoio que a República lhes deve.\n É certo que, nos últimos dias, ribombou nos Passos Perdidos a declaração do Governo segundo a qual a proposta do Bloco de Esquerda implicaria um gasto excessivo e não haveria, dizia o Governo, a disponibilidade de 340 milhões de euros — contas do Governo — para pagar o subsídio de desemprego a estes milhares e milhares de desempregados, em função daquilo que descontaram e para o qual se esforçaram. «Caiu o Carmo e a Trindade»! O PSD, que tinha agendado um projecto de lei para contribuir para a resposta do alargamento do subsídio de desemprego, veio imediatamente recuar e aceitar a chantagem do Governo. O mesmo se diga, aliás, do que o CDS pretende fazer nesta sessão.\n Há, portanto, um «cheiro» a Orçamento do Estado e um «cheiro» a esta maioria PS/PSD/CDS-PP que parece contaminar a decisão que importa sobre o subsídio de desemprego. E começo, directamente, pelas questões políticas que aqui estão envolvidas, olhando para o programa de todos os partidos.\n Dizia-nos o PSD, no seu programa eleitoral, que era prioritário «Estender, com cariz (…) excepcional (…)» — concordamos, aliás, com o cariz excepcional — «(…) o período potencial de concessão do subsídio de desemprego». Perguntado pela bancada do Bloco de Esquerda, na voz do Deputado Luís Fazenda, sobre se o PSD abdicaria desta extensão da concessão do subsídio de desemprego, levantou-se Aguiar Branco, Presidente do Grupo Parlamentar do PSD, para garantir que o PSD nunca abandona nada. «Meu dito, meu feito»! O PSD abandonou imediatamente a sua posição, mal o Governo entendeu que era inconveniente ter, no Orçamento do Estado, esse custo de 300 e poucos milhões de euros para o apoio aos desempregados. Foi dito e feito! Aí veio o PSD retirar a sua proposta, com o pretexto estapafúrdio de que o Governo já a havia aprovado, o que é inteira, total e radicalmente falso. O PSD decidiu apoiar a proposta do Governo, retirando a sua.\n Quanto ao CDS, a coisa é um pouco mais complicada, porque o CDS, no seu programa, comprometia-se com as duas medidas constituintes também da proposta do Bloco de Esquerda e que constam exactamente do nosso projecto de lei. A saber: para o CDS, era urgente o alargamento da protecção social, pelo menos a título transitório, no sentido «do tempo de percepção do subsídio e não apenas do subsídio social de desemprego propriamente dito» — aqui está a proposta do Bloco de Esquerda.\n Em segundo lugar, para o CDS, importava «alterar os prazos de garantia, de modo a que os jovens não fossem excluídos do subsídio de desemprego» — aqui está a proposta do Bloco de Esquerda.\n Porém, veremos agora, também, o CDS, no «altar» do Orçamento do Estado, recusar as propostas com as quais se comprometeu no seu programa.\n Para tomar emprestados os termos sempre elegantes de um dos grandes cultores do diálogo parlamentar, o Deputado Jorge Strecht, a «malandrice» do PSD e do CDS é abdicarem totalmente da promessa que fizeram aos portugueses, em particular aos desempregados, a bem de um acordo para o Orçamento que recusa o apoio aos desempregados.\n Por isso, a iniciativa do Bloco de Esquerda contém três medidas fundamentais, as quais respondem ao nosso programa eleitoral.\n Em primeiro lugar, propomos que seja alterado o prazo de garantia, para que quem trabalha no ano em curso possa ter acesso a um subsídio de desemprego em condições, em particular os jovens com contratos a prazo ou com situações precárias, que procuram emprego e não o encontram, mas já trabalharam, e aqueles que têm as portas do subsídio de desemprego injustamente fechadas.\n Em segundo lugar, propõe o Bloco de Esquerda majorar o subsídio de desemprego para os casais em que os dois estão desempregados, como é de justiça.\n Em terceiro lugar, propomos a alteração das regras para o prazo de concessão do subsídio, melhorando o acesso dos trabalhadores mais velhos, sabendo que a sua dificuldade para voltar ao mercado de trabalho é bem maior.\n Estas medidas, Sr. e Srs. Deputados, são necessárias. São necessárias, desde logo, porque há 300 000 desempregados e desempregadas que não têm subsídio, e são necessárias porque o Estado tem vindo a poupar nos desempregados. Há 5 anos atrás, o Estado apoiava cada desempregado com 400 € por mês — dir-me-ão que é muito pouco, e é verdade, aliás, é agora menos do que o salário mínimo nacional —, mas este Governo conseguiu reduzir em 100 € o apoio a cada desempregado, passando para 300 €, em média. Este Governo ataca os desempregados e entende que a restrição orçamental se faz à sua custa, à custa do apoio aos desempregados e do respeito pelos desempregados.\n Mas há pior ainda! O Governo diz que não pode aceitar a proposta do Bloco de Esquerda porque é cara demais — custa, diz-nos o Governo, e insisto que se trata de contas do Governo, 340 milhões de euros —, o que me leva a fazer algumas contas convosco, Sr. e Srs. Deputados.\n No ano passado, o Governo tinha orçamentado 580 milhões de euros para o apoio aos desempregados.\n Quanto é que gastou? Gastou 260 milhões de euros.\n
José Manuel Pureza|BE|Exactamente!
Francisco Louçã|BE|Quanto é que não gastou, do que estava orçamentado? Não gastou 320 milhões de euros. Pois aqui têm a resposta, Sr. Deputadas e Srs. Deputados do Partido Socialista! O valor de 340 milhões de euros é muito? É muito, sim, senhor, é o necessário para um apoio mínimo a muitas pessoas que precisam de tudo, mas é aquilo que estava orçamentado! Estava no Orçamento! Não nos podem dizer que não há 340 milhões de euros para pagar um apoio aos desempregados quando esse dinheiro estava no Orçamento e não foi gasto no ano passado.\n Pior ainda: o Governo, este ano, voltou a apresentar 500 milhões de euros para políticas de emprego — e digo bem quando falo em «apresentar», porque foi o Primeiro-Ministro que o disse no Parlamento — mas uma semana depois já eram só 416 milhões de euros. Entre o dia em que o Primeiro-Ministro comprometeu a sua palavra e o dia da apresentação das contas desapareceram 84 milhões de euros.\n Não há dinheiro para os desempregados? Façamos, então, as contas. Se a resposta aos desempregados deve piorar quanto pior for a crise, por que é que o Governo despende, de forma tão despesista e tão inutilmente, tanto dinheiro público?! O custo dos pareceres e das consultadorias jurídicas pago pelo Governo Sócrates a meia dúzia de escritórios de advogados – bem escolhidos, bem sei – pagava dois anos do aumento do subsídio de desemprego a 300 000 pessoas que precisam.\n
José Manuel Pureza|BE|Exactamente!
Francisco Louçã|BE|O custo dos estudos para o aeroporto da Ota pagava dois anos do aumento do subsídio de desemprego – e, como bem sabemos, não servem para nada, mas esse valor serviria para os desempregados.\n O desvio entre os contratos assinados e as verbas pagas aos concessionários das auto-estradas é de 1100 milhões de euros, o que representa quatro anos do aumento do subsídio de desemprego.\n O dinheiro dos benefícios fiscais pagos, em Portugal, para o offshore da Madeira — e, já agora, ouçam Guilherme d’Oliveira Martins, que veio, ontem, ao Parlamento dizer como os offshore são a condição da corrupção — pagaria quatro anos do aumento do subsídio de desemprego.\n É por isso que as contas são implacáveis. Há pouco dinheiro no Orçamento? Há restrições orçamentais? Certamente que há, mas há tempos excepcionais e tempos excepcionais exigem um rigor excepcional,…
José Manuel Pureza|BE|Muito bem!
Francisco Louçã|BE|… exigem não desperdiçar, não deitar o dinheiro fora, utilizá-lo com bons critérios. E, Sr. e Srs. Deputados, não sei se pode haver melhor critério, mais sensível e mais respeitador, do que dar um pequeno apoio a quem trabalhou, descontou para a segurança social, não tem nem consegue ter emprego mas tem o direito a ter a dignidade dessa solidariedade social que o Estado recusa, em nome do despesismo mais disparatado, e que, agora, alguns partidos, para apoiarem o Governo, recusam também, rasgando os seus compromissos eleitorais.\n Manter a palavra e manter uma só cara é um princípio que valoriza a política e é mesmo um princípio da democracia: responsabilidade e respeito pelas pessoas.\n
|BE|*** Aplausos ***
